,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 290,633,43,15,22,38,31,148,29,8,2,0,22,1,2,4,1,8,1007
3,Sección 291,462,83,20,59,82,79,460,50,8,0,2,57,4,12,17,4,27,1426
4,Sección 292,123,38,7,7,35,29,119,14,4,0,0,19,1,2,5,1,6,410
5,Sección 293,154,31,3,41,81,46,220,14,2,0,2,27,6,1,10,0,20,658
6,Sección 294,517,49,11,31,91,72,267,37,26,1,0,38,2,7,5,5,15,1174
7,Sección 295,396,56,8,51,119,110,418,42,5,2,0,48,6,5,19,1,12,1298
8,Sección 296,233,35,11,39,123,135,467,30,6,1,1,49,6,3,22,4,21,1186
9,Sección 297,128,18,4,24,62,39,201,10,0,0,1,22,4,1,8,1,6,529
10,Sección 299,99,26,2,25,78,61,220,12,2,0,1,42,8,4,14,4,21,619
11,Sección 300,385,77,9,93,262,239,764,45,3,2,0,148,6,8,33,0,49,2123
12,Sección 302,58,12,5,22,45,34,129,10,0,0,0,28,0,0,0,1,13,357
13,Sección 303,55,6,4,16,30,17,128,7,0,0,0,13,3,0,1,0,4,284
14,Sección 304,13,4,0,6,13,7,49,1,0,0,0,10,2,0,1,0,4,110
15,Sección 305,212,11,4,40,82,35,269,10,2,1,1,20,8,5,18,1,22,741
16,Sección 306,290,19,3,24,216,46,328,10,7,1,1,37,12,5,16,0,31,1046
17,Sección 307,39,5,0,3,41,3,66,8,0,0,0,11,2,5,0,0,7,190
18,Sección 308,382,22,3,83,380,54,379,17,3,3,0,61,28,2,18,0,38,1473
19,Sección 309,84,9,0,28,107,12,156,1,0,0,0,0,0,0,3,5,8,413
20,Sección 310,229,55,8,80,377,134,755,27,6,1,0,97,14,6,28,2,33,1852
21,Sección 311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Sección 313,174,48,15,51,147,75,351,6,3,0,0,36,12,3,18,3,27,969
23,Sección 315,47,23,4,15,57,38,142,3,1,0,1,17,2,2,8,0,6,366
24,Sección 316,1848,154,19,50,46,136,403,141,17,2,0,63,2,6,6,3,16,2912
25,Sección 317,320,39,9,42,63,95,398,13,1,0,0,66,4,6,20,2,18,1096
26,Sección 318,675,104,18,29,47,96,467,72,15,10,1,66,2,13,19,6,22,1662
27,Sección 319,144,18,5,16,20,35,85,21,3,0,0,18,0,2,2,0,2,371
28,Sección 320,356,29,11,38,71,98,450,22,6,0,1,43,4,6,16,4,27,1182
29,Sección 321,199,18,7,37,85,65,616,4,5,1,17,49,2,8,12,3,25,1153
30,Sección 322,235,22,7,29,81,58,490,11,2,0,0,38,3,0,10,0,26,1012
31,Sección 323,212,19,7,29,54,45,266,19,6,1,0,41,1,1,10,5,24,740
32,Sección 324,138,14,2,39,45,57,287,13,5,0,0,30,2,3,4,1,13,653
33,Sección 325,256,19,6,63,106,83,455,12,4,2,0,60,8,5,18,2,23,1122
34,Sección 326,133,19,10,16,46,60,249,10,3,1,1,38,2,4,13,1,13,619
35,Sección 327,227,13,2,31,63,92,373,14,3,0,0,50,0,3,7,7,11,896
36,Sección 328,269,26,9,53,106,120,545,29,1,1,0,64,5,4,41,2,25,1300
37,Sección 329,130,14,3,26,59,41,262,5,1,0,1,39,6,3,12,0,15,617
38,Sección 331,618,52,15,77,116,160,659,47,5,2,0,58,4,7,17,1,31,1869
39,Sección 333,440,45,14,80,138,192,873,25,6,1,0,101,8,6,20,4,47,2000
40,Sección 334,29,4,3,18,17,7,63,1,0,0,0,2,1,3,3,0,6,157
41,Sección 335,55,12,2,14,27,29,141,0,12,0,0,26,0,0,0,0,9,327
42,Sección 336,33,2,1,7,14,25,135,3,0,0,0,12,0,3,9,0,7,251
43,Sección 351,83,5,2,18,31,40,153,9,0,0,0,19,1,2,5,0,5,373
44,Sección 352,269,34,5,24,38,75,252,29,3,0,0,43,1,2,8,0,15,798
