,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 694,153,68,8,55,33,88,406,3,1,0,1,21,5,11,9,5,9,876
3,Sección 695,109,73,5,42,18,53,279,13,0,0,0,13,1,15,3,2,20,646
4,Sección 696,181,81,9,34,25,69,282,16,7,0,2,17,0,8,6,1,16,754
5,Sección 697,135,102,9,37,22,82,260,9,2,0,0,16,2,2,3,7,13,701
6,Sección 698,101,34,2,24,9,39,139,16,0,0,0,15,1,0,0,0,11,391
7,Sección 699,109,47,5,28,18,49,147,13,0,0,0,20,2,3,4,0,12,457
8,Sección 700,150,76,7,31,15,73,263,8,0,5,0,22,0,4,2,0,9,665
9,Sección 701,156,91,3,53,26,84,258,7,2,0,0,20,4,3,5,1,11,724
10,Sección 702,374,203,33,270,135,386,2088,40,14,2,0,133,5,64,21,12,85,3865
11,Sección 703,81,53,10,51,35,77,396,5,0,1,0,37,2,6,2,0,18,774
12,Sección 704,44,25,0,24,13,48,129,2,2,0,1,11,0,2,2,0,8,311
13,Sección 705,142,62,4,50,23,76,439,12,2,1,8,36,4,4,4,0,15,882
14,Sección 706,223,101,5,38,22,109,344,26,4,3,0,41,3,8,3,2,14,946
15,Sección 707,165,80,5,29,10,61,245,17,2,0,0,20,0,2,3,0,14,653
16,Sección 708,156,85,6,35,22,71,231,10,1,0,0,11,0,3,3,1,18,653
17,Sección 709,185,85,9,59,33,63,365,78,10,9,6,14,5,2,4,1,34,962
18,Sección 710,129,78,4,54,27,90,437,1,0,1,1,26,0,6,3,3,15,875
19,Sección 711,110,69,30,78,70,156,698,9,1,0,1,38,7,10,10,9,30,1326
20,Sección 712,78,39,4,40,31,85,368,11,0,0,0,22,1,13,2,2,22,718
21,Sección 713,68,54,2,39,23,65,396,7,1,0,0,22,4,9,8,0,15,713
22,Sección 714,132,87,15,123,59,225,1114,9,6,0,0,80,8,18,11,1,56,1944
23,Sección 715,22,28,7,63,27,86,361,4,2,0,0,24,2,5,13,0,18,662
24,Sección 716,137,105,37,114,79,118,817,89,6,6,1,33,4,12,26,2,23,1609
25,Sección 717,40,19,3,23,25,34,236,0,0,0,0,0,0,0,0,0,4,384
26,Sección 718,74,45,3,32,46,92,444,11,3,14,24,24,4,11,3,2,25,857
27,Sección 719,51,44,15,39,27,65,295,0,0,0,0,0,0,0,0,2,9,547
28,Sección 720,88,62,6,39,17,79,336,1,4,0,0,17,1,5,2,0,10,667
29,Sección 722,264,172,28,237,168,544,2219,68,10,0,2,339,18,24,30,13,92,4228
30,Sección 724,157,114,18,174,153,159,1198,1,0,0,0,9,2,3,3,20,114,2125
31,Sección 725,23,11,2,12,18,12,93,4,1,0,0,5,1,1,3,0,8,194
32,Sección 726,49,29,3,55,31,44,288,1,0,0,0,11,0,4,2,2,34,553
33,Sección 727,50,24,1,31,15,18,121,5,3,0,0,10,1,8,1,0,12,300
34,Sección 728,36,26,4,42,23,38,240,0,0,0,0,0,0,0,0,0,6,415
35,Sección 729,45,28,7,87,23,40,324,2,0,0,0,20,2,20,1,0,29,628
36,Sección 730,24,34,10,14,10,24,260,3,0,1,0,27,1,5,5,0,5,423
37,Sección 731,23,11,4,19,4,21,139,2,0,0,0,7,0,5,1,0,4,240
38,Sección 732,40,19,3,31,2,17,95,1,0,0,0,4,1,3,0,0,5,221
39,Sección 733,102,48,5,32,24,39,226,2,1,0,0,8,2,4,1,0,22,516
40,Sección 734,28,19,2,20,10,26,137,3,0,0,0,10,0,0,6,0,5,266
41,Sección 1194,305,276,87,168,190,328,2214,91,6,2,0,123,7,41,53,0,74,3965
42,Sección 1259,183,111,13,97,78,246,1048,31,4,0,0,60,34,20,15,1,50,1991
43,Sección 1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Sección 1261,159,158,39,124,104,260,1408,54,50,28,27,51,36,22,23,0,40,2583
