,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 185,31,40,8,43,80,273,1055,4,0,0,0,90,13,9,25,0,34,1705
3,Sección 186,25,19,2,32,26,105,529,4,0,0,0,57,2,9,18,1,20,849
4,Sección 187,39,22,11,33,73,239,352,7,1,0,1,68,0,9,12,1,16,884
5,Sección 188,301,142,7,37,27,147,486,25,2,1,0,58,1,1,2,0,25,1262
6,Sección 189,56,29,5,25,42,111,490,12,0,0,0,71,0,0,0,1,18,860
7,Sección 190,55,40,3,17,30,110,504,10,0,0,1,48,2,0,2,3,10,835
8,Sección 191,32,37,3,31,44,171,695,5,0,0,0,69,3,4,8,6,23,1131
9,Sección 192,24,26,6,19,27,164,524,3,0,0,0,34,6,2,5,0,20,860
10,Sección 193,9,11,0,13,20,51,224,2,0,1,0,24,3,4,3,0,6,371
11,Sección 194,26,28,4,18,29,107,488,4,4,0,1,60,3,9,3,2,10,796
12,Sección 195,53,30,5,22,50,82,449,2,0,1,0,20,0,3,7,2,9,735
13,Sección 196,29,17,5,19,29,117,499,6,0,4,0,37,0,33,0,1,16,812
14,Sección 197,51,51,8,11,21,110,415,4,3,0,0,28,0,6,7,3,10,728
15,Sección 199,65,48,5,24,22,189,485,18,0,0,1,24,10,3,5,1,21,921
16,Sección 200,49,37,16,27,22,142,359,4,2,0,0,29,2,7,4,0,17,717
17,Sección 201,33,27,6,19,19,66,286,3,0,0,0,28,3,5,7,4,5,511
18,Sección 202,62,46,5,24,44,155,601,7,2,1,0,51,2,1,8,2,6,1017
19,Sección 203,48,25,2,27,34,147,520,3,0,1,0,17,0,1,9,1,7,842
20,Sección 204,55,20,4,6,12,55,252,6,0,2,0,31,0,2,3,1,9,458
21,Sección 205,102,80,11,48,98,412,1300,59,2,0,0,77,7,17,23,1,45,2282
22,Sección 206,184,96,9,47,63,283,1109,31,3,1,0,110,3,9,17,11,24,2000
23,Sección 207,56,29,6,24,25,162,550,7,1,0,0,48,1,10,21,0,16,956
24,Sección 208,124,56,3,22,23,122,534,14,0,2,2,34,0,3,6,4,15,964
25,Sección 209,50,20,3,16,21,60,254,9,1,0,0,20,1,1,7,1,10,474
26,Sección 210,74,47,1,24,24,142,535,11,0,0,0,40,2,2,9,2,19,932
27,Sección 211,68,36,3,28,42,128,500,7,1,2,1,54,2,6,14,5,11,908
28,Sección 212,32,31,4,12,19,86,288,8,1,2,0,21,0,4,7,0,10,525
29,Sección 213,42,27,4,15,15,75,311,10,7,1,0,48,2,0,4,0,5,566
30,Sección 214,81,39,3,22,27,114,355,16,1,0,0,32,0,5,13,1,20,729
31,Sección 215,12,20,1,7,4,29,132,5,0,0,0,14,1,2,3,0,3,233
32,Sección 216,56,53,4,16,13,70,306,13,2,0,0,28,1,3,5,1,8,579
33,Sección 217,56,28,7,13,24,107,426,6,0,0,0,33,2,8,13,1,14,738
34,Sección 218,161,83,10,31,32,134,734,82,2,0,0,329,4,9,20,2,17,1650
35,Sección 219,50,19,2,5,13,42,163,5,0,0,0,18,0,0,0,0,6,323
36,Sección 220,38,37,1,8,22,61,259,8,1,0,0,24,2,3,3,0,4,471
37,Sección 221,31,18,0,11,22,66,268,3,1,0,0,20,0,2,7,1,12,462
38,Sección 222,36,26,5,3,11,37,169,5,0,1,0,9,1,3,3,0,5,314
39,Sección 223,54,33,2,11,16,70,240,7,1,0,0,14,0,0,3,2,8,461
40,Sección 224,43,41,4,20,33,116,422,14,0,0,0,53,1,3,5,2,16,773
41,Sección 225,48,28,6,21,20,84,447,3,3,0,0,36,0,8,4,1,18,727
42,Sección 226,45,20,1,13,30,92,353,6,1,1,2,42,1,0,6,0,8,621
43,Sección 227,49,33,4,33,44,117,511,6,0,1,0,25,0,3,8,1,8,843
44,Sección 228,20,18,1,9,31,79,319,8,1,0,0,36,1,4,6,3,5,541
