,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Sección 54,109,224,46,269,159,83,50,13,0,1,0,5,2,1,2,1,67,1032
1,Sección 55,50,101,19,440,126,89,70,8,0,0,0,0,0,1,1,0,64,969
2,Sección 56,30,38,20,274,124,46,67,2,1,0,0,6,1,4,5,0,39,657
3,Sección 57,29,67,23,758,86,102,121,4,0,0,0,4,8,11,5,0,59,1277
4,Sección 58,18,24,3,192,89,29,22,0,0,0,1,4,4,3,2,1,31,423
5,Sección 59,26,45,15,356,148,26,50,0,0,0,0,2,2,0,1,0,30,701
6,Sección 60,58,163,36,289,120,87,108,14,1,0,1,12,3,4,2,1,57,956
7,Sección 61,61,122,44,437,164,96,160,8,0,0,0,12,0,0,4,4,83,1195
8,Sección 62,95,103,30,355,119,100,175,19,1,2,0,10,1,7,6,0,55,1078
9,Sección 63,8,14,3,146,18,11,57,0,1,0,0,0,1,2,0,0,11,272
10,Sección 64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Sección 65,84,173,35,595,39,75,154,8,3,0,2,4,2,3,0,1,39,1217
12,Sección 66,59,115,24,356,112,95,60,7,1,2,1,1,3,3,1,0,74,914
13,Sección 67,103,229,31,505,96,59,56,9,3,3,3,3,4,2,0,15,73,1194
14,Sección 113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Sección 114,5,144,7,8,11,4,195,0,0,0,0,0,0,0,0,0,13,387
16,Sección 115,18,182,6,15,4,17,112,4,0,0,0,6,0,0,0,0,32,396
17,Sección 537,93,127,17,73,120,88,208,8,4,2,0,8,4,1,4,0,90,847
18,Sección 538,78,141,16,101,114,65,231,3,0,0,0,3,4,1,2,0,84,843
19,Sección 539,114,278,36,81,128,38,312,7,3,2,0,6,1,1,1,0,61,1069
20,Sección 540,77,90,23,501,250,160,593,13,6,3,1,37,4,9,9,3,81,1860
21,Sección 541,47,58,16,337,148,254,477,3,2,0,0,20,4,7,2,20,64,1459
22,Sección 542,46,45,7,336,114,108,387,4,1,1,0,16,5,4,4,0,26,1104
23,Sección 543,59,54,16,390,216,152,689,6,0,0,1,29,3,5,8,0,36,1664
24,Sección 544,26,48,7,143,67,31,318,4,1,0,0,10,4,5,2,0,42,708
25,Sección 545,27,65,4,243,194,86,222,23,0,1,0,0,1,3,7,0,69,945
26,Sección 546,33,32,6,259,155,37,318,11,0,0,3,1,1,5,4,0,25,890
27,Sección 547,28,17,13,257,244,61,379,3,0,1,1,10,3,5,2,0,40,1064
28,Sección 548,27,41,19,201,292,79,393,7,1,0,0,23,7,5,13,2,31,1141
29,Sección 549,7,9,6,67,33,14,77,2,1,0,0,3,0,1,0,0,21,241
30,Sección 550,18,33,3,136,42,34,156,3,1,0,0,3,1,3,2,0,19,454
31,Sección 551,17,25,9,156,56,56,160,1,2,1,0,3,0,3,2,0,15,506
32,Sección 553,112,68,35,256,269,209,708,143,4,3,1,60,11,13,25,4,32,1953
33,Sección 554,27,39,20,274,302,44,567,4,1,1,0,12,3,2,13,2,30,1341
34,Sección 555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Sección 577,22,20,4,163,81,50,183,5,0,0,0,21,3,5,3,0,15,575
36,Sección 578,102,77,16,164,167,137,416,13,2,0,0,23,4,4,5,0,38,1168
37,Sección 579,92,54,3,117,78,99,288,15,1,0,0,24,4,5,5,0,17,802
38,Sección 580,55,50,3,77,53,53,277,12,3,1,0,35,4,3,5,0,14,645
39,Sección 581,64,67,18,294,121,140,461,9,4,0,2,15,10,11,13,0,56,1285
40,Sección 582,27,16,3,81,27,24,106,4,0,0,0,6,0,2,0,0,8,304
41,Sección 583,83,55,7,49,41,50,224,13,3,0,0,9,0,1,0,0,9,544
42,Sección 584,96,73,14,119,82,96,399,8,4,0,0,16,3,4,11,0,25,950
43,Sección 585,29,27,4,34,26,30,137,5,0,0,0,3,0,1,2,0,3,301
44,Sección 586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Sección 587,69,69,14,174,78,82,434,7,0,0,0,22,0,0,4,0,19,972
46,Sección 588,45,41,6,97,35,25,279,5,0,0,29,8,3,4,2,0,12,591
47,Sección 589,98,74,19,565,201,169,827,22,2,0,0,86,10,14,7,0,79,2173
48,Sección 590,76,64,11,276,134,124,567,6,0,0,0,34,4,4,12,0,18,1330
49,Sección 591,9,37,3,200,17,23,332,4,0,0,0,10,0,15,1,0,22,673
50,Sección 592,6,9,4,39,17,7,64,0,0,0,0,0,0,0,0,0,7,153
51,Sección 593,20,45,3,52,25,22,343,55,0,0,2,9,2,8,3,0,44,633
52,Sección 594,45,59,8,178,64,157,209,7,1,0,0,15,2,11,3,3,47,809
53,Sección 595,41,33,18,291,84,66,355,0,2,0,0,7,2,1,3,0,23,926
54,Sección 596,30,34,7,194,55,53,332,0,0,0,0,5,1,1,2,0,21,735
55,Sección 597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Sección 598,64,57,13,254,86,82,374,6,4,1,0,19,6,3,2,0,50,1021
57,Sección 599,46,35,5,154,43,46,137,7,1,0,0,5,3,1,0,0,25,508
58,Sección 600,32,32,5,188,34,35,282,2,1,0,0,2,0,3,0,0,2,618
59,Sección 601,2,3,0,46,22,4,129,0,2,0,0,3,3,4,4,0,3,225
60,Sección 760,96,458,44,92,159,188,225,8,0,0,10,10,5,0,2,33,296,1626
61,Sección 761,41,182,19,13,78,16,45,4,2,0,0,2,0,1,2,0,40,445
62,Sección 762,77,201,51,49,241,86,123,3,3,0,2,4,10,1,13,0,45,909
63,Sección 763,20,28,11,30,112,33,44,0,0,0,0,0,0,0,0,0,39,317
64,Sección 764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Sección 765,72,68,27,183,290,158,796,6,0,1,0,15,2,3,6,0,21,1648
66,Sección 766,40,59,14,108,204,98,494,4,2,0,0,16,2,1,7,0,10,1059
67,Sección 767,69,60,14,165,235,124,810,8,0,0,0,25,3,6,6,0,45,1570
68,Sección 768,3,3,0,68,38,11,148,2,0,0,0,0,1,1,1,0,11,287
69,Sección 769,9,2,1,38,55,15,192,0,0,0,0,1,0,5,3,0,14,335
70,Sección 770,21,10,3,30,98,60,423,1,0,0,1,4,1,2,4,0,18,676
71,Sección 771,17,16,2,46,161,46,439,3,2,0,0,11,4,2,8,1,15,773
72,Sección 772,19,25,3,42,72,20,180,0,0,0,0,4,0,3,0,0,7,375
73,Sección 773,51,84,6,103,189,146,606,5,0,0,0,15,2,3,8,0,24,1242
