,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 57,377,1063,16,127,160,228,1574,34,190,1,1,70,8,18,43,1,64,3975
3,Sección 58,59,190,8,26,21,29,226,11,2,0,1,9,1,1,7,0,13,604
4,Sección 59,57,402,8,61,95,70,662,8,3,0,1,20,5,9,22,0,23,1446
5,Sección 61,8,16,2,26,4,2,42,0,0,0,1,0,1,2,2,0,5,111
6,Sección 63,23,208,8,34,37,32,388,3,2,0,0,17,6,2,10,1,15,786
7,Sección 64,15,153,1,43,10,12,121,0,2,0,0,4,3,1,1,0,11,377
8,Sección 66,5,200,1,25,23,10,182,3,0,1,1,8,3,3,5,1,15,486
9,Sección 67,12,55,1,6,0,5,49,0,0,0,0,0,0,0,0,0,2,130
10,Sección 68,4,87,0,15,24,6,68,0,0,0,0,0,0,0,0,0,8,212
11,Sección 69,19,509,2,15,29,15,253,7,5,0,0,6,4,0,16,0,17,897
12,Sección 70,16,154,5,30,11,13,125,0,1,0,0,11,1,2,5,0,13,387
13,Sección 71,2,89,1,15,0,2,31,0,0,0,0,0,0,0,0,0,4,144
14,Sección 72,0,9,0,16,3,1,44,0,1,0,0,0,0,0,0,0,2,76
15,Sección 73,2,104,0,5,9,2,92,0,2,0,0,3,0,1,2,0,4,226
16,Sección 74,13,150,1,13,12,7,133,3,0,0,0,5,4,1,2,0,12,356
17,Sección 75,63,775,3,78,55,60,654,7,7,0,0,25,5,4,14,2,34,1786
18,Sección 76,8,127,1,14,8,4,62,0,1,0,0,2,0,0,0,0,1,228
19,Sección 77,6,75,1,3,8,5,62,0,0,0,0,3,0,0,2,0,4,169
20,Sección 78,13,146,23,28,30,12,195,2,1,0,3,12,4,5,9,1,28,512
21,Sección 79,24,809,30,59,69,54,380,3,1,0,1,15,4,2,9,0,38,1498
22,Sección 80,2,160,1,18,7,6,93,0,0,0,0,0,0,0,0,0,11,298
23,Sección 214,241,450,3,45,97,67,592,2,4,0,1,15,1,1,8,1,48,1576
24,Sección 215,123,242,1,24,54,47,276,1,0,0,0,1,1,2,3,0,16,791
25,Sección 216,87,135,3,20,30,37,216,2,2,0,2,5,3,0,4,0,13,559
26,Sección 217,50,130,0,18,24,8,132,0,1,0,0,9,0,0,7,0,17,396
27,Sección 218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Sección 220,38,94,3,6,22,2,89,0,0,0,0,0,0,1,2,0,9,266
29,Sección 221,11,55,0,2,0,1,25,0,0,0,0,0,0,0,0,0,4,98
30,Sección 222,75,99,1,25,31,7,179,0,1,0,0,0,0,0,0,0,14,432
31,Sección 223,75,109,2,18,25,4,43,0,3,0,0,1,1,3,2,0,19,305
32,Sección 225,43,97,1,18,30,4,153,3,0,0,0,11,0,0,0,0,19,379
33,Sección 226,60,70,0,15,13,2,83,0,0,0,0,3,0,0,1,0,21,268
34,Sección 227,63,98,0,9,17,1,70,0,1,0,0,2,0,1,2,0,13,277
35,Sección 228,32,73,6,8,23,6,97,0,0,0,0,4,1,1,3,0,22,276
36,Sección 229,81,152,3,12,13,3,79,0,1,0,0,1,0,0,2,0,16,363
37,Sección 230,86,75,5,8,50,0,0,0,0,0,0,0,0,0,0,0,0,224
38,Sección 231,72,192,2,17,38,8,96,0,1,0,0,2,6,2,5,0,36,477
39,Sección 257,14,293,11,24,31,36,616,4,1,0,1,16,4,1,15,0,24,1091
40,Sección 258,59,714,37,71,66,61,1371,2,3,0,2,45,1,12,11,0,71,2526
41,Sección 259,13,476,29,54,43,61,951,2,0,0,3,19,4,9,19,0,34,1717
42,Sección 260,17,449,18,61,69,83,1022,2,3,0,3,60,0,9,5,0,28,1829
43,Sección 261,13,306,13,28,22,34,600,0,0,0,0,10,2,2,34,1,11,1076
44,Sección 262,13,260,3,31,37,36,686,1,2,0,0,31,3,2,10,0,11,1126
45,Sección 263,12,246,3,20,25,30,462,3,1,1,0,23,2,9,1,0,11,849
46,Sección 264,27,231,8,36,34,43,646,1,1,0,2,26,7,9,7,0,21,1099
47,Sección 265,25,582,29,64,66,89,1401,4,4,0,2,41,5,9,15,0,25,2361
48,Sección 266,19,321,2,22,17,36,484,3,3,0,0,18,2,3,5,2,6,943
49,Sección 267,14,204,3,9,18,17,372,2,0,0,0,14,4,2,2,0,7,668
50,Sección 268,21,612,36,72,72,68,1330,2,0,0,1,63,7,30,21,0,40,2375
51,Sección 269,16,510,34,76,60,66,1229,3,2,0,2,45,7,15,18,0,52,2135
52,Sección 270,8,196,1,15,19,25,337,3,0,0,0,6,1,2,2,0,7,622
53,Sección 271,17,350,10,24,38,53,720,2,0,0,0,30,1,8,3,0,31,1287
54,Sección 272,16,345,9,33,49,50,689,2,1,0,1,25,2,4,15,206,34,1481
55,Sección 273,13,224,6,33,32,36,486,1,1,0,0,21,4,3,10,0,16,886
56,Sección 274,18,372,27,55,47,28,744,1,2,0,3,30,2,12,5,0,34,1380
57,Sección 275,8,318,11,37,33,32,592,1,1,0,1,19,2,7,9,0,25,1096
58,Sección 276,23,309,28,47,38,39,666,7,1,0,0,25,4,7,9,0,23,1226
59,Sección 277,6,206,23,23,21,28,428,1,1,0,0,16,2,3,5,0,7,770
60,Sección 278,0,190,1,16,12,6,267,1,1,0,0,5,2,4,6,0,13,524
61,Sección 279,1,185,0,14,4,9,352,0,1,0,0,6,0,3,2,0,6,583
62,Sección 280,8,437,5,45,34,28,813,2,1,0,0,37,8,7,1,1,19,1446
63,Sección 281,0,100,3,4,5,2,237,0,0,0,0,9,0,2,0,0,2,364
64,Sección 282,3,192,39,23,25,14,441,2,1,0,0,23,4,4,5,0,13,789
65,Sección 283,8,194,28,18,23,34,430,2,1,0,0,26,0,1,3,0,9,777
66,Sección 284,9,336,8,30,31,13,562,3,1,0,0,22,6,10,9,0,12,1052
67,Sección 285,6,218,6,19,18,13,483,2,1,0,0,22,4,4,5,0,17,818
68,Sección 286,3,145,12,13,9,13,331,2,0,0,0,11,0,2,3,0,9,553
69,Sección 287,6,418,6,25,25,32,686,1,0,1,0,32,6,9,11,1,19,1278
70,Sección 288,11,504,13,35,25,35,811,2,0,0,0,28,1,3,4,1,27,1500
71,Sección 289,4,181,4,28,50,23,365,2,0,0,2,14,8,4,4,0,4,693
72,Sección 290,9,230,44,35,54,31,690,1,0,1,1,23,0,5,11,0,23,1158
73,Sección 291,4,369,75,26,20,24,616,4,1,0,6,29,4,8,6,0,26,1218
74,Sección 292,3,205,4,14,9,13,392,0,0,0,1,8,0,2,4,0,10,665
75,Sección 293,16,240,71,18,29,17,610,1,0,0,0,28,7,3,2,7,15,1064
76,Sección 294,10,115,8,30,19,25,502,4,0,0,1,17,2,3,5,0,4,745
77,Sección 295,0,120,11,10,13,5,269,0,0,0,1,7,3,0,2,0,6,447
78,Sección 296,2,168,100,35,19,13,414,1,0,0,1,17,1,7,4,2,25,809
79,Sección 297,7,303,38,26,20,26,840,1,2,0,0,39,7,13,4,0,24,1350
80,Sección 298,4,142,13,7,9,8,271,1,0,1,0,10,1,1,1,0,17,486
81,Sección 299,4,124,43,16,10,6,165,0,0,0,1,10,0,4,0,3,13,399
82,Sección 300,3,101,38,6,5,11,234,0,0,0,2,7,0,0,4,0,7,418
83,Sección 301,0,101,0,9,11,12,333,0,1,0,0,5,1,5,3,3,3,487
84,Sección 302,4,154,4,19,18,17,319,0,0,0,0,18,1,4,1,0,11,570
85,Sección 303,4,79,76,10,19,42,350,0,0,0,3,8,13,1,4,0,11,620
86,Sección 304,6,184,0,24,18,30,551,1,0,0,1,22,1,6,6,0,15,865
87,Sección 305,31,421,7,67,64,66,1166,6,2,0,2,70,2,16,25,2,36,1983
88,Sección 306,4,221,42,128,64,19,482,0,0,0,2,13,2,11,7,3,14,1012
89,Sección 307,16,406,46,207,55,28,572,1,2,0,3,19,4,13,11,0,25,1408
90,Sección 308,3,201,2,24,13,7,495,1,0,0,0,10,1,3,5,2,22,789
91,Sección 309,2,127,1,16,12,7,139,0,0,0,0,3,2,1,2,0,4,316
92,Sección 310,11,250,50,32,45,34,626,1,3,0,6,22,3,6,8,0,24,1121
93,Sección 311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Sección 312,3,286,15,25,20,13,436,1,0,0,1,12,0,7,5,1,19,844
95,Sección 313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Sección 314,2,208,1,28,21,8,269,1,0,0,0,9,1,4,0,0,17,569
97,Sección 315,1,95,0,3,6,1,86,0,0,0,0,4,0,3,4,0,2,205
98,Sección 316,1,76,1,10,6,12,64,0,0,0,0,1,0,0,3,0,4,178
99,Sección 317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Sección 318,8,213,39,17,22,28,409,3,1,0,4,20,3,2,2,1,12,784
101,Sección 542,52,553,114,66,134,155,988,202,1,0,0,25,0,1,2,0,32,2325
102,Sección 543,143,611,6,61,101,144,1181,21,5,0,0,57,3,2,14,0,56,2405
103,Sección 544,14,199,1,19,59,42,439,0,0,0,2,4,0,0,0,0,31,810
104,Sección 545,20,274,9,71,110,87,610,2,0,0,1,19,4,4,6,0,41,1258
105,Sección 546,6,82,1,16,33,20,138,1,0,0,1,4,0,0,3,0,9,314
106,Sección 547,11,171,5,23,31,36,343,3,0,0,0,14,0,1,2,0,11,651
107,Sección 548,10,181,1,32,54,51,389,3,0,0,0,9,6,4,5,0,16,761
108,Sección 549,14,311,4,51,79,58,666,1,0,0,1,17,2,4,7,0,57,1272
109,Sección 550,26,263,1,21,39,33,337,4,0,0,1,14,3,2,6,0,32,782
110,Sección 551,37,179,1,15,33,24,250,5,1,1,1,5,0,2,5,1,3,563
111,Sección 552,15,161,7,20,59,36,325,0,0,0,0,11,2,4,4,0,21,665
112,Sección 553,42,154,3,24,55,40,253,2,0,0,1,10,0,0,11,0,14,609
113,Sección 554,17,193,0,31,48,27,309,0,1,0,0,5,0,0,3,0,12,646
114,Sección 555,16,102,5,24,34,19,46,3,1,0,1,10,0,2,0,1,3,267
115,Sección 556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Sección 557,21,453,4,93,121,112,980,7,0,0,0,31,2,2,9,2,39,1876
117,Sección 558,11,200,5,42,104,50,480,1,1,0,0,13,5,5,7,0,27,951
118,Sección 559,7,259,4,52,60,64,495,0,0,0,0,14,4,10,3,0,43,1015
119,Sección 560,4,68,0,7,30,18,88,0,0,0,0,4,1,0,0,0,11,231
120,Sección 562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Sección 563,1,35,0,2,3,7,66,0,0,0,0,0,0,4,0,0,1,119
122,Sección 564,0,40,0,4,0,4,0,0,0,0,0,0,0,0,48,0,6,102
123,Sección 565,2,120,1,20,31,24,134,1,0,0,0,6,2,1,3,0,16,361
124,Sección 566,4,223,1,19,29,10,198,2,0,0,0,8,2,2,0,0,18,516
125,Sección 567,7,176,4,29,91,17,213,2,1,0,0,6,2,5,2,0,19,574
