,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 671,39,86,128,165,93,78,1157,19,1,0,12,105,10,18,17,0,54,1982
3,Sección 672,21,41,28,51,49,54,444,3,2,1,0,30,5,5,10,0,32,776
4,Sección 673,9,44,6,20,13,17,192,9,0,0,0,0,15,0,0,0,7,332
5,Sección 674,66,91,99,180,107,120,1484,15,0,0,0,116,11,35,25,0,56,2405
6,Sección 675,28,58,31,61,39,72,490,5,1,0,1,34,5,11,8,0,22,866
7,Sección 676,0,4,34,11,6,0,94,0,0,0,0,0,0,1,0,0,9,159
8,Sección 677,0,6,35,44,31,2,319,0,0,7,3,7,2,1,2,0,18,477
9,Sección 678,0,0,4,8,2,2,116,0,0,1,0,6,0,2,1,0,8,150
10,Sección 679,4,26,41,54,23,11,170,3,0,0,0,16,3,8,2,0,19,380
11,Sección 680,6,6,93,62,27,10,284,0,1,0,0,4,8,0,0,0,21,522
12,Sección 681,0,0,0,12,1,0,64,0,0,0,0,0,1,0,0,1,2,81
13,Sección 682,0,0,0,0,0,1,2,110,0,0,243,0,0,0,0,16,0,372
14,Sección 683,2,3,16,21,7,4,75,0,0,0,0,0,0,0,0,21,128,277
15,Sección 684,16,19,57,58,32,23,526,0,0,1,1,17,2,4,4,0,26,786
16,Sección 685,0,4,2,15,6,4,66,0,0,0,0,4,3,1,1,0,4,110
17,Sección 686,3,6,22,2,17,8,179,31,0,0,0,2,1,1,0,0,16,288
18,Sección 687,1,1,28,5,3,4,41,1,0,0,0,0,0,1,0,0,3,88
19,Sección 688,4,9,54,51,24,5,223,1,0,0,0,1,1,2,1,0,14,390
20,Sección 689,3,10,8,22,16,7,179,0,0,0,2,10,3,4,4,0,0,268
21,Sección 690,2,1,47,22,16,2,144,3,0,0,2,9,4,4,1,0,12,269
22,Sección 691,0,1,20,13,13,4,76,0,0,0,2,3,0,1,0,0,6,139
23,Sección 692,9,10,31,51,26,18,341,0,0,0,0,33,8,10,4,0,23,564
24,Sección 693,1,7,6,13,6,7,106,2,0,0,0,5,0,1,0,0,4,158
25,Sección 694,19,14,60,34,29,10,281,2,0,1,1,24,6,5,0,0,24,510
26,Sección 695,2,5,99,22,19,0,144,0,0,1,0,0,4,0,0,0,43,339
27,Sección 696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Sección 697,2,3,9,19,13,7,175,0,0,0,0,22,3,5,1,2,7,268
29,Sección 698,3,3,20,6,7,2,63,0,0,0,0,0,0,0,0,1,11,116
30,Sección 699,9,4,11,25,19,2,119,1,2,0,0,7,1,1,1,0,18,220
31,Sección 700,1,12,81,35,41,7,133,0,0,0,1,4,1,3,3,2,32,356
32,Sección 701,1,2,8,9,6,3,56,0,0,0,0,0,0,0,0,0,6,91
33,Sección 702,2,1,12,20,9,7,142,0,0,1,0,7,1,1,4,0,17,224
34,Sección 703,5,14,14,33,23,3,255,1,0,1,0,21,3,2,7,0,8,390
35,Sección 704,0,2,10,8,4,0,58,0,0,0,0,1,1,3,1,0,4,92
36,Sección 705,3,6,35,42,19,29,251,0,0,0,2,4,2,3,0,0,33,429
37,Sección 706,2,7,18,48,38,7,210,0,1,0,6,2,4,2,6,4,27,382
38,Sección 707,7,26,40,37,34,8,238,2,1,0,2,5,2,3,4,0,41,450
39,Sección 708,4,4,7,15,13,4,122,0,0,0,0,2,0,3,1,0,16,191
40,Sección 709,7,17,21,41,38,9,147,1,0,0,1,3,1,2,2,0,34,324
41,Sección 710,4,3,10,20,15,7,126,0,0,0,1,7,4,1,0,0,9,207
42,Sección 711,7,5,15,23,18,7,361,1,0,1,0,10,2,4,6,0,27,487
43,Sección 712,5,31,75,41,29,7,136,0,0,0,7,5,0,1,0,0,35,372
44,Sección 713,2,1,8,10,3,3,82,0,0,0,0,0,0,0,0,0,15,124
45,Sección 714,6,6,23,22,10,10,259,0,0,1,0,14,1,1,2,0,13,368
