,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 2024,913,415,35,164,260,1299,2849,110,24,1,1,192,15,20,51,11,108,6468
3,Sección 2025,193,106,11,61,158,573,1502,12,4,0,0,103,9,11,22,0,33,2798
4,Sección 2026,91,23,2,11,58,135,327,6,0,0,0,16,3,4,3,0,11,690
5,Sección 2027,141,80,1,38,69,388,706,6,0,0,1,43,2,8,13,2,40,1538
6,Sección 2028,125,71,4,23,46,229,524,8,3,0,0,26,1,6,13,3,15,1097
7,Sección 2029,214,105,12,42,40,288,931,26,2,1,0,74,3,9,16,2,28,1793
8,Sección 2030,525,297,26,259,322,1894,4268,70,9,2,0,290,13,50,66,19,169,8279
9,Sección 2031,84,233,8,38,67,369,767,5,4,1,0,11,0,1,6,2,55,1651
10,Sección 2032,43,170,1,25,27,240,422,9,5,0,0,25,2,6,6,0,17,998
11,Sección 2033,102,262,6,30,28,404,571,18,1,0,0,28,1,6,12,2,19,1490
12,Sección 2034,24,51,4,12,11,89,218,1,2,0,1,9,0,1,1,0,7,431
13,Sección 2035,666,1007,29,175,197,1359,2725,56,14,1,17,195,13,32,37,7,145,6675
14,Sección 2036,160,388,31,108,100,806,1638,103,8,5,3,284,6,33,22,1,85,3781
15,Sección 2037,120,139,15,41,34,400,555,18,9,1,0,56,2,6,8,6,36,1446
16,Sección 2038,235,246,10,77,98,866,1358,26,11,0,1,101,8,20,13,6,64,3140
17,Sección 2039,134,130,13,61,57,544,850,20,5,0,1,70,5,13,11,2,54,1970
18,Sección 2040,146,231,9,60,73,674,950,24,9,1,1,55,1,11,19,4,66,2334
19,Sección 2041,135,147,9,52,49,461,787,16,2,1,1,54,1,6,14,1,41,1777
20,Sección 2042,85,76,7,40,29,320,507,6,4,0,1,36,3,9,4,2,21,1150
21,Sección 2043,309,338,16,122,147,1455,2282,68,28,1,0,132,25,23,25,5,101,5077
22,Sección 2044,282,224,28,146,148,915,2579,31,4,0,0,154,12,21,34,3,69,4650
23,Sección 2045,56,61,5,42,63,323,915,6,1,1,1,54,7,8,11,1,11,1566
24,Sección 2046,110,96,9,50,43,375,847,15,2,0,0,77,0,6,2,2,34,1668
25,Sección 2047,199,63,4,4,5,30,85,11,3,1,2,6,0,0,2,1,8,424
26,Sección 2048,319,259,25,101,116,816,1721,58,4,3,1,134,2,11,25,6,51,3652
27,Sección 2049,448,622,35,210,234,1655,3197,63,19,1,1,195,13,57,52,11,157,6970
28,Sección 2691,293,368,25,49,66,427,640,55,18,1,0,36,3,9,6,6,49,2051
29,Sección 2692,235,197,5,26,14,158,340,34,6,1,2,27,1,5,5,2,30,1088
30,Sección 2693,568,311,21,99,88,496,1308,93,18,1,2,137,9,5,25,8,42,3231
31,Sección 2694,182,159,6,35,19,161,391,43,11,0,1,29,1,8,5,3,31,1085
32,Sección 2695,1498,824,56,245,194,1508,3128,200,35,6,3,225,10,32,35,26,140,8165
33,Sección 2696,126,130,5,29,15,154,280,14,6,0,0,16,1,5,5,3,21,810
34,Sección 2712,76,83,6,12,25,129,324,9,1,0,0,11,1,4,5,0,14,700
35,Sección 2713,180,99,13,27,25,147,406,22,3,0,0,38,0,5,10,6,24,1005
36,Sección 2716,549,283,22,59,56,372,933,72,11,3,1,69,1,15,15,12,42,2515
37,Sección 2717,258,271,18,53,59,373,943,50,10,1,0,67,5,16,13,5,44,2186
38,Sección 2718,229,194,6,42,62,265,689,44,7,0,0,48,4,13,18,5,34,1660
39,Sección 2719,220,143,9,52,44,232,795,40,5,0,1,68,0,4,6,5,45,1669
40,Sección 2720,171,131,7,46,47,253,611,40,2,0,1,51,2,8,7,9,35,1421
41,Sección 2721,1258,770,60,227,201,1313,2813,154,31,2,3,211,17,42,40,25,169,7336
42,Sección 2723,274,237,28,87,70,424,1047,32,9,1,0,61,5,14,8,7,76,2380
43,Sección 2724,569,413,21,156,109,711,1746,71,22,2,2,130,4,19,32,10,77,4094
44,Sección 2725,248,168,11,25,25,123,365,18,6,1,0,16,1,1,2,2,33,1045
45,Sección 2726,301,244,20,85,80,562,996,47,8,1,3,67,6,15,12,7,71,2525
46,Sección 2729,264,237,22,120,109,530,1536,51,9,0,1,105,7,18,26,8,63,3106
47,Sección 3311,94,66,6,35,25,150,364,12,5,1,1,31,2,11,5,0,29,837
48,Sección 3740,92,83,10,38,29,144,363,18,7,1,0,41,3,11,9,0,17,866
49,Sección 3741,87,102,4,28,20,113,323,8,3,0,2,36,8,7,17,0,30,788
50,Sección 3742,99,108,11,36,39,198,511,19,2,0,0,35,3,13,7,9,28,1118
51,Sección 3743,55,64,8,13,8,133,318,1,1,0,0,6,2,3,1,0,18,631
52,Sección 3744,183,111,5,28,33,182,437,20,17,1,0,32,22,3,4,0,9,1087
53,Sección 3745,67,95,4,32,22,199,349,15,4,0,0,36,3,5,6,4,27,868
54,Sección 3888,97,21,0,2,3,8,19,5,3,0,0,2,0,1,0,0,2,163
55,Sección 3889,8,3,1,0,1,9,20,1,0,0,0,0,0,0,1,1,1,46
56,Sección 3890,9,10,2,3,4,30,91,4,0,0,0,5,0,1,1,2,9,171
