,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 1,86,72,12,38,248,135,177,5,11,2,0,27,7,2,9,1,31,863
3,Sección 2,144,73,20,39,248,149,183,19,10,0,0,28,6,6,7,9,44,985
4,Sección 3,103,53,19,29,90,94,104,14,4,1,1,22,4,4,13,3,32,590
5,Sección 4,108,69,11,26,204,94,110,8,4,1,0,9,5,3,5,0,31,688
6,Sección 5,111,48,26,41,185,174,132,6,11,0,0,9,9,5,8,3,45,813
7,Sección 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Sección 7,46,22,18,32,92,43,78,4,1,0,0,4,7,2,6,0,33,388
9,Sección 8,36,23,5,16,34,37,35,14,5,2,0,9,4,0,3,3,14,240
10,Sección 9,22,12,3,8,30,18,44,1,7,0,0,4,1,1,2,0,14,167
11,Sección 10,100,39,19,23,164,98,87,7,6,0,0,29,7,5,6,0,62,652
12,Sección 213,36,93,397,94,101,97,440,11,0,0,5,32,16,5,9,2,57,1395
13,Sección 214,5,23,108,21,12,15,93,5,2,0,0,6,2,3,2,0,17,314
14,Sección 215,6,12,30,7,10,12,24,1,1,0,0,1,0,1,0,0,6,111
15,Sección 216,3,7,44,4,6,5,35,0,0,0,0,0,0,0,1,0,7,112
16,Sección 217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Sección 218,2,2,50,6,7,8,25,0,0,0,0,1,4,0,0,0,5,110
18,Sección 219,17,20,263,64,54,63,201,11,1,0,5,12,2,6,7,0,43,769
19,Sección 220,4,10,60,21,14,8,83,0,0,0,2,3,1,0,0,0,15,221
20,Sección 221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Sección 222,2,11,38,4,16,0,42,2,1,0,0,1,0,0,1,0,6,124
22,Sección 223,1,12,48,14,11,5,37,3,0,0,2,6,0,0,1,0,8,148
23,Sección 224,4,5,40,49,15,6,63,0,0,0,0,3,2,3,1,0,16,207
24,Sección 457,39,287,33,70,89,141,378,15,4,1,16,41,7,8,22,2,35,1188
25,Sección 458,26,240,48,32,31,103,330,12,2,0,1,19,2,1,4,0,46,897
26,Sección 459,3,20,23,4,38,5,217,0,0,0,0,7,3,3,3,0,4,330
27,Sección 460,0,46,11,10,17,22,0,0,0,3,19,19,2,4,9,0,11,173
28,Sección 461,27,163,39,63,108,139,770,8,4,1,6,31,8,9,14,7,36,1433
29,Sección 462,8,74,1,20,21,30,177,6,2,4,5,10,3,0,7,1,31,400
30,Sección 463,19,102,14,49,93,84,662,4,0,0,0,13,6,7,10,0,24,1087
31,Sección 465,11,0,10,21,32,62,244,90,0,0,12,304,5,0,3,0,36,830
32,Sección 466,8,181,10,21,42,54,285,10,2,1,5,8,4,1,7,0,22,661
33,Sección 601,2,6,132,14,19,17,193,0,0,1,2,7,4,2,5,0,27,431
34,Sección 602,5,7,127,15,26,24,216,1,1,0,0,16,0,0,1,0,29,468
35,Sección 603,4,7,98,13,25,19,132,6,0,0,0,9,2,4,5,0,16,340
36,Sección 604,7,12,96,11,15,24,163,2,0,0,0,6,2,2,0,1,10,351
37,Sección 605,20,33,203,28,30,28,355,10,3,0,1,24,3,6,13,0,22,779
38,Sección 606,9,30,215,21,44,52,293,13,0,1,3,18,3,1,3,0,29,735
39,Sección 607,17,32,131,27,35,44,323,6,0,3,0,23,6,5,6,0,25,683
40,Sección 608,73,88,167,29,31,70,507,22,2,4,2,42,4,6,13,2,15,1077
41,Sección 609,22,34,195,30,37,61,305,1,0,1,1,32,4,7,8,2,33,773
42,Sección 610,17,38,167,22,54,48,321,13,1,3,1,28,6,8,8,1,28,764
43,Sección 611,6,9,7,12,17,23,174,2,0,0,1,11,1,1,2,1,7,274
