,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 49,68,30,6,35,42,118,142,3,1,0,0,12,3,7,5,0,18,490
3,Sección 50,69,28,2,67,32,119,211,5,3,0,0,26,0,3,8,0,15,588
4,Sección 51,61,35,1,56,26,107,144,6,1,0,1,21,3,2,3,1,13,481
5,Sección 52,54,41,7,84,55,223,254,12,2,0,0,29,2,8,9,0,29,809
6,Sección 53,91,58,7,55,46,118,242,4,1,0,0,27,0,3,2,0,15,669
7,Sección 54,81,66,8,36,38,141,301,16,1,0,0,27,1,4,8,0,15,743
8,Sección 55,10,17,2,5,11,32,106,2,0,0,0,5,0,0,0,1,4,195
9,Sección 56,13,20,0,24,26,67,203,1,0,0,0,9,0,1,4,0,12,380
10,Sección 57,35,42,4,19,39,45,282,6,7,0,0,22,3,7,11,0,9,531
11,Sección 58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sección 59,78,100,10,51,28,89,475,0,0,0,0,25,2,4,4,0,32,898
13,Sección 60,66,16,1,30,26,178,110,1,2,0,0,9,2,2,4,1,25,473
14,Sección 61,51,24,3,56,64,92,240,3,4,1,1,30,10,4,5,0,26,614
15,Sección 62,17,9,0,9,9,27,72,2,0,0,0,5,1,2,0,0,5,158
16,Sección 63,10,6,0,26,11,38,98,0,0,1,0,5,3,1,2,0,3,204
17,Sección 64,11,12,0,22,15,18,63,0,0,0,0,0,0,0,0,0,4,145
18,Sección 65,22,21,2,32,17,31,187,3,2,0,0,10,0,2,1,0,11,341
19,Sección 66,43,23,3,71,10,111,70,4,1,0,0,4,1,2,1,0,12,356
20,Sección 67,87,20,5,83,34,180,155,5,2,0,0,7,1,3,1,0,22,605
21,Sección 68,99,15,5,59,28,135,137,4,2,0,0,13,3,1,3,0,12,516
22,Sección 69,65,33,2,25,11,75,61,7,0,0,0,5,1,1,0,0,15,301
23,Sección 70,17,9,1,22,8,41,38,2,0,1,0,4,1,2,0,0,5,151
24,Sección 71,11,4,9,35,6,13,1,0,0,0,0,0,0,46,0,0,1,126
25,Sección 72,7,6,3,16,4,3,32,0,0,0,0,0,0,0,0,0,4,75
26,Sección 74,24,23,8,32,16,75,97,4,2,0,0,8,0,0,1,0,9,299
27,Sección 75,40,17,5,79,25,48,146,4,1,1,0,4,1,0,5,0,17,393
28,Sección 76,5,2,0,19,6,11,33,0,0,0,0,5,0,0,0,0,3,84
29,Sección 77,0,0,0,0,0,73,0,68,0,0,0,170,0,0,0,0,22,333
30,Sección 78,34,31,6,54,33,120,183,1,1,0,0,6,0,1,4,1,46,521
31,Sección 79,35,19,25,184,28,135,101,4,0,2,0,14,2,3,4,0,24,580
32,Sección 80,35,8,6,85,17,89,105,1,0,0,0,7,2,3,3,0,16,377
33,Sección 81,21,6,2,30,6,21,67,0,0,0,0,0,0,0,0,0,3,156
34,Sección 82,58,12,3,56,14,74,109,6,0,0,0,10,0,3,4,0,11,360
35,Sección 83,71,25,3,84,25,124,106,5,2,1,0,5,0,3,0,0,24,478
36,Sección 84,11,7,3,29,11,37,49,0,1,0,0,0,0,1,1,0,9,159
37,Sección 86,18,13,2,61,21,47,44,3,0,0,0,0,5,0,0,0,8,222
38,Sección 88,27,5,8,150,25,51,43,1,0,0,0,1,0,0,0,0,5,316
39,Sección 89,26,17,3,103,19,32,49,2,0,0,1,1,2,0,1,0,5,261
40,Sección 91,71,27,5,24,43,35,199,10,3,1,0,22,2,1,5,0,5,453
41,Sección 92,53,25,5,38,32,26,252,7,1,0,0,16,3,5,3,1,13,480
42,Sección 93,20,5,0,6,9,10,71,2,0,0,0,1,0,1,2,0,5,132
43,Sección 94,39,14,2,14,26,12,238,0,0,0,0,0,0,0,0,0,6,351
44,Sección 95,89,14,2,27,51,28,218,0,0,0,0,5,0,0,1,0,12,447
45,Sección 96,160,34,6,71,57,78,536,14,5,0,1,37,6,4,6,2,22,1039
