,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,3,3,2,2,0,0,12,0,0,0,0,0,1,0,1,0,1,25
1,Voto en Prisión Preventiva,16,62,5,8,12,26,224,3,0,0,0,5,0,1,1,1,6,370
2,Sección 70,15,14,5,63,135,44,420,3,1,0,0,25,3,11,15,0,17,771
3,Sección 71,7,11,9,44,42,17,231,0,3,0,0,21,5,5,11,1,14,421
4,Sección 72,11,7,4,48,60,22,257,0,0,1,0,19,4,5,10,0,11,459
5,Sección 73,1,4,1,20,19,7,67,3,0,0,0,13,2,0,2,0,4,143
6,Sección 90,26,45,8,65,182,30,456,1,1,0,0,42,9,4,13,0,21,903
7,Sección 91,22,60,14,33,195,21,362,2,2,0,0,44,9,3,18,0,26,811
8,Sección 93,12,21,5,20,61,18,133,0,1,0,1,18,5,4,5,11,0,315
9,Sección 94,6,12,1,11,43,2,90,0,0,0,0,14,0,0,0,0,6,185
10,Sección 95,16,77,19,40,255,12,259,3,1,1,1,11,12,4,8,2,26,747
11,Sección 96,19,52,17,43,261,9,195,2,1,0,0,10,6,2,4,2,19,642
12,Sección 113,15,58,7,61,40,27,333,0,1,0,0,13,1,2,5,0,33,596
13,Sección 114,26,32,18,80,62,32,431,0,0,3,13,14,8,10,4,2,45,780
14,Sección 115,7,25,4,86,23,22,235,0,0,0,0,10,3,10,1,3,21,450
15,Sección 116,20,21,4,53,26,5,151,0,2,0,0,9,1,4,2,0,12,310
16,Sección 121,9,45,5,65,28,8,216,4,2,0,0,18,6,15,7,0,10,438
17,Sección 122,7,14,4,16,16,10,125,0,2,0,0,7,3,3,3,0,6,216
18,Sección 123,5,32,7,49,35,11,261,0,0,0,0,5,2,2,0,0,24,433
19,Sección 124,6,17,2,58,20,12,192,1,0,0,0,12,9,19,4,0,19,371
20,Sección 157,83,80,9,118,70,208,1236,1,2,1,0,35,3,7,9,1,89,1952
21,Sección 158,109,54,14,75,73,170,855,0,1,2,1,19,12,9,6,0,51,1451
22,Sección 159,80,49,10,34,34,86,402,3,2,0,0,14,0,7,4,1,29,755
23,Sección 160,147,96,9,111,81,212,1021,10,4,1,5,41,1,11,12,2,57,1821
24,Sección 161,32,34,6,46,29,100,511,0,3,0,0,0,0,7,0,0,19,787
25,Sección 162,10,9,0,19,7,10,81,0,1,0,0,0,0,2,1,0,2,142
26,Sección 163,4,13,0,6,0,8,104,0,0,0,0,0,0,0,0,1,0,136
27,Sección 164,11,6,4,21,6,17,300,1,0,0,0,5,3,3,2,0,7,386
28,Sección 165,2,1,0,0,7,4,61,0,0,0,0,2,0,0,0,0,1,78
29,Sección 166,61,42,8,90,67,71,424,0,1,1,1,9,3,11,4,1,46,840
30,Sección 167,7,11,3,59,18,21,248,0,1,1,0,3,0,11,1,1,15,400
31,Sección 168,9,13,7,35,20,26,258,0,0,0,0,2,1,5,0,0,20,396
32,Sección 169,12,8,0,26,15,43,290,1,0,0,0,7,1,2,5,0,18,428
33,Sección 170,21,11,4,22,17,60,284,0,0,0,0,3,2,4,3,0,25,456
34,Sección 171,16,5,2,19,11,22,118,0,0,0,0,3,0,0,0,0,7,203
35,Sección 172,9,2,0,9,12,10,127,0,1,0,0,5,0,0,0,0,1,176
36,Sección 173,28,3,3,28,0,47,233,0,0,0,0,0,0,0,0,0,0,342
37,Sección 174,24,7,5,3,12,17,136,0,1,0,0,2,0,1,1,0,10,219
38,Sección 175,45,44,5,21,24,19,207,2,4,0,0,0,3,0,0,0,24,398
39,Sección 373,20,29,5,24,71,9,169,0,0,0,1,5,3,0,2,0,19,357
40,Sección 374,10,38,58,178,30,32,331,2,1,0,0,8,1,4,2,0,27,722
41,Sección 432,78,87,17,141,216,176,1420,11,6,0,0,92,5,13,34,2,38,2336
42,Sección 433,72,60,15,187,277,213,1691,4,1,1,3,73,19,23,25,0,68,2732
43,Sección 434,67,112,17,83,140,138,989,6,1,0,5,23,7,15,11,2,44,1660
44,Sección 435,38,34,6,73,118,74,577,5,0,0,0,35,4,4,17,1,27,1013
45,Sección 436,35,25,7,72,107,69,617,4,0,0,0,41,5,9,12,0,25,1028
46,Sección 437,44,62,12,76,144,84,729,1,0,0,0,39,5,6,19,0,36,1257
47,Sección 438,45,66,14,120,207,167,1183,6,3,1,0,64,11,10,35,8,59,1999
48,Sección 439,42,30,15,70,95,68,505,2,1,0,0,32,3,7,14,0,8,892
49,Sección 440,137,103,27,149,248,163,867,17,3,0,0,89,15,24,28,1,52,1923
50,Sección 441,88,67,14,179,278,179,1373,8,1,0,1,63,19,8,43,5,84,2410
51,Sección 442,21,52,6,91,63,23,1024,0,0,0,0,17,0,10,8,0,61,1376
52,Sección 443,3,3,1,34,28,11,156,0,0,0,0,2,1,1,2,0,35,277
53,Sección 444,14,50,7,67,60,34,351,2,1,0,0,8,9,8,4,1,74,690
54,Sección 445,24,44,2,52,50,24,538,1,0,0,0,16,1,4,2,0,43,801
55,Sección 446,13,16,7,84,45,29,499,0,4,0,0,11,8,7,12,1,44,780
56,Sección 447,12,27,6,39,70,45,413,0,0,0,0,10,4,6,6,2,22,662
57,Sección 448,4,7,4,17,21,3,151,0,0,0,0,0,0,0,0,0,16,223
58,Sección 449,29,68,5,68,98,91,539,1,3,0,0,15,0,2,3,3,62,987
59,Sección 450,8,16,3,45,54,18,201,0,0,0,0,0,5,1,0,0,36,387
60,Sección 451,2,3,4,17,15,12,195,0,0,0,0,11,2,3,1,0,11,276
61,Sección 452,13,18,8,45,51,13,264,0,0,0,0,4,3,2,2,0,17,440
62,Sección 453,6,16,1,16,12,8,95,0,1,0,0,0,0,1,0,0,7,163
63,Sección 456,15,22,4,40,91,39,286,3,1,0,1,25,9,5,12,0,22,575
64,Sección 457,18,69,7,49,35,22,223,1,0,0,0,6,0,2,2,0,15,449
65,Sección 632,22,120,8,177,67,24,398,3,2,0,1,26,11,34,9,0,48,950
66,Sección 638,22,56,15,49,178,38,385,3,1,0,0,20,11,6,11,0,41,836
67,Sección 640,1,11,2,8,19,4,74,1,0,0,1,3,0,0,1,0,9,134
68,Sección 641,9,6,3,16,22,3,70,0,1,0,0,4,0,2,2,0,6,144
69,Sección 642,2,13,4,21,42,5,201,0,0,0,0,7,2,0,4,0,7,308
70,Sección 710,5,51,4,23,154,18,150,0,0,0,0,2,4,6,3,2,12,434
71,Sección 711,6,63,8,18,206,25,165,0,0,1,0,4,2,2,6,2,16,524
72,Sección 721,15,95,10,44,61,12,334,6,0,1,0,11,1,3,6,3,30,632
73,Sección 722,23,110,10,84,60,27,458,6,0,0,2,16,1,4,7,0,21,829
74,Sección 723,37,134,7,112,111,25,422,2,2,0,0,4,3,6,6,0,28,899
75,Sección 724,14,57,6,51,36,12,197,3,1,0,0,5,0,1,0,2,22,407
76,Sección 725,16,68,10,56,71,10,181,3,0,1,0,0,0,1,3,3,8,431
77,Sección 726,16,39,19,15,85,9,148,1,0,0,0,1,0,0,1,4,19,357
78,Sección 727,17,53,3,27,22,7,169,0,0,0,0,2,0,1,1,0,19,321
79,Sección 728,14,25,4,152,18,22,476,0,0,0,0,1,0,4,1,0,27,744
80,Sección 729,23,90,12,113,53,15,460,1,1,0,2,4,3,3,2,0,36,818
81,Sección 730,11,81,6,125,38,14,231,3,0,0,0,2,0,0,1,1,24,537
