,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Sección 710,24,38,2,11,8,30,158,2,1,1,0,8,1,3,2,0,5,294
1,Sección 711,22,45,0,17,12,29,285,8,3,0,0,12,6,5,3,0,22,469
2,Sección 712,15,45,3,17,10,32,179,3,3,0,1,14,0,1,2,0,14,339
3,Sección 713,9,38,3,38,29,37,352,23,1,0,0,9,0,3,6,0,14,562
4,Sección 714,4,22,0,12,10,21,132,1,1,0,0,13,0,5,2,3,8,234
5,Sección 715,16,20,1,18,6,21,149,7,0,0,0,10,1,2,3,0,5,259
6,Sección 716,68,75,3,26,35,87,390,16,0,0,0,39,1,4,3,0,12,759
7,Sección 717,30,34,5,9,12,31,123,10,3,0,0,12,3,1,1,0,4,278
8,Sección 718,18,21,1,11,2,29,179,3,0,0,0,19,1,4,3,0,3,294
9,Sección 719,17,28,2,24,9,19,178,0,0,0,0,4,0,4,1,0,2,288
10,Sección 720,18,28,1,11,8,18,116,1,0,0,0,7,4,7,0,0,2,221
11,Sección 721,4,18,0,16,8,17,113,1,0,0,0,0,0,0,0,0,0,177
12,Sección 722,32,35,2,6,5,12,11,3,2,0,0,0,8,0,0,1,0,117
13,Sección 723,18,19,2,8,2,21,125,5,1,0,0,10,1,5,1,0,4,222
14,Sección 724,11,18,3,5,5,17,100,4,0,0,0,10,1,2,3,0,3,182
15,Sección 725,394,266,17,44,27,127,516,60,9,1,1,49,3,13,10,4,26,1567
16,Sección 726,202,123,5,19,9,62,231,30,4,0,0,12,0,3,1,1,10,712
17,Sección 727,17,20,3,6,5,16,105,2,0,0,0,16,0,0,0,0,5,195
18,Sección 728,26,27,2,8,2,27,100,0,0,0,0,6,0,2,1,0,2,203
19,Sección 729,19,36,1,6,9,6,111,6,0,0,0,12,1,1,1,0,2,211
20,Sección 730,53,59,4,11,8,47,170,9,2,0,0,8,0,4,1,0,4,380
21,Sección 731,15,23,1,5,5,18,82,5,1,0,0,8,1,2,0,0,6,172
22,Sección 732,13,13,3,10,2,21,104,1,1,0,0,5,0,1,0,0,9,183
23,Sección 733,117,58,4,12,3,21,129,17,4,0,1,15,0,1,4,0,6,392
24,Sección 734,215,136,8,21,9,67,204,45,6,1,0,7,1,0,4,0,13,737
25,Sección 735,45,36,10,7,0,12,217,6,1,0,0,5,0,1,2,0,7,349
26,Sección 736,40,31,5,8,8,23,190,4,1,0,0,5,0,2,3,0,7,327
27,Sección 737,139,54,6,4,9,16,77,19,1,0,0,12,0,0,1,0,1,339
28,Sección 738,90,55,6,4,2,11,79,9,1,0,0,3,0,2,2,0,4,268
29,Sección 739,45,30,3,65,6,16,82,16,3,0,0,0,6,1,2,0,2,277
30,Sección 740,32,26,2,10,5,20,109,1,3,0,0,2,0,5,2,1,4,222
31,Sección 741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Sección 742,44,32,2,13,8,11,85,7,3,0,0,16,2,1,2,0,4,230
33,Sección 743,43,35,1,15,3,32,116,11,3,0,0,13,1,2,3,0,5,283
34,Sección 744,232,123,7,7,6,25,92,21,8,1,0,10,0,1,2,0,5,540
35,Sección 745,29,25,1,4,6,17,75,6,0,1,0,6,2,1,0,0,1,174
36,Sección 746,25,31,2,15,0,33,103,0,0,0,0,0,0,0,0,0,7,216
37,Sección 747,16,12,0,5,7,16,50,3,1,0,0,4,0,0,0,0,2,116
38,Sección 748,67,56,3,16,11,26,122,13,4,0,0,9,0,0,3,2,7,339
39,Sección 749,62,32,4,5,3,21,77,6,0,1,0,10,1,2,1,0,8,233
40,Sección 750,95,51,4,5,2,17,64,5,0,1,0,3,0,1,1,0,4,253
41,Sección 751,57,24,2,7,2,10,2,7,0,0,0,7,0,0,1,0,2,121
42,Sección 752,16,31,0,2,4,28,67,2,1,0,0,9,1,0,3,0,2,166
43,Sección 753,40,43,3,7,4,35,125,11,0,0,1,7,2,2,0,0,8,288
44,Sección 754,28,26,1,0,11,4,82,6,0,1,0,3,0,1,0,0,4,167
45,Sección 755,57,41,2,7,6,25,93,11,1,1,1,12,1,3,3,0,7,271
46,Sección 756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Sección 757,81,28,2,4,2,6,43,12,2,0,0,1,0,0,1,0,1,183
48,Sección 758,151,47,1,4,2,5,37,15,4,0,0,3,0,0,0,2,2,273
49,Sección 759,61,38,0,6,4,13,52,3,3,0,0,3,0,0,2,2,1,188
50,Sección 760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Sección 761,22,27,2,8,12,5,2,2,0,0,9,0,1,0,0,3,0,93
52,Sección 762,15,10,0,3,7,12,76,4,0,0,0,7,1,1,1,1,4,142
53,Sección 763,23,24,2,8,2,10,88,9,1,0,0,8,0,1,2,0,4,182
54,Sección 764,22,48,1,12,11,16,156,12,0,0,0,12,1,5,2,0,0,298
55,Sección 765,82,53,3,6,6,16,87,6,3,0,0,8,0,3,1,0,1,275
56,Sección 766,104,39,2,2,2,8,24,4,1,0,0,1,0,0,0,1,2,190
57,Sección 767,168,62,4,11,5,17,95,13,1,0,0,9,0,3,2,1,2,393
58,Sección 768,94,23,2,3,0,2,21,7,0,0,0,2,0,2,0,0,2,158
59,Sección 769,95,25,2,0,1,4,17,6,2,0,0,0,0,0,0,0,1,153
60,Sección 770,135,41,3,6,2,14,36,7,3,1,0,4,0,1,1,0,2,256
61,Sección 771,33,50,1,8,7,14,105,9,0,0,0,9,0,0,0,0,4,240
62,Sección 772,54,43,3,12,2,18,118,3,0,0,0,21,0,4,0,1,3,282
63,Sección 773,97,57,3,6,1,18,34,9,3,0,0,10,0,3,2,0,2,245
64,Sección 774,507,310,12,47,31,54,223,54,19,2,0,9,2,3,0,1,4,1278
65,Sección 775,136,61,2,3,1,10,74,10,1,2,1,4,1,0,1,1,3,311
66,Sección 776,131,76,3,5,6,11,80,12,3,0,0,6,0,0,0,0,5,338
67,Sección 777,73,89,6,15,6,23,136,13,0,0,2,12,0,2,3,0,6,386
68,Sección 778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Sección 779,103,32,1,2,2,8,14,1,0,1,0,0,0,0,0,0,1,165
70,Sección 780,158,38,3,7,3,7,33,8,1,1,0,4,0,0,0,0,1,264
71,Sección 782,46,29,3,2,2,9,50,8,1,0,0,9,0,4,0,0,2,165
72,Sección 783,39,30,0,4,0,4,24,2,0,1,0,3,0,2,0,1,2,112
73,Sección 784,38,42,2,6,3,6,59,10,1,0,0,3,0,3,1,4,3,181
74,Sección 785,426,220,17,72,84,238,867,59,15,2,0,98,0,10,12,6,48,2174
75,Sección 786,87,66,0,13,4,11,63,14,2,1,0,1,0,1,0,0,2,265
76,Sección 787,58,35,1,0,3,5,54,6,1,0,0,8,0,1,0,0,3,175
77,Sección 788,122,42,6,3,7,11,61,11,2,0,0,1,0,0,1,0,2,269
78,Sección 789,83,52,7,7,3,14,54,5,5,0,0,3,0,2,0,0,3,238
79,Sección 790,71,41,1,3,4,13,39,3,2,1,1,7,0,1,1,0,1,189
80,Sección 791,114,68,5,6,2,9,77,7,3,0,0,4,0,1,1,0,4,301
81,Sección 792,138,78,2,6,5,23,84,12,4,0,0,10,0,0,1,1,1,365
82,Sección 793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Sección 794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Sección 795,102,68,1,10,5,22,89,15,3,0,0,7,0,1,0,0,2,325
85,Sección 796,155,96,1,9,9,14,134,13,7,1,0,7,0,3,1,0,2,452
86,Sección 797,339,211,5,16,10,41,164,41,7,2,0,11,3,1,2,1,5,859
87,Sección 798,92,72,3,5,4,12,82,5,2,0,1,4,0,1,2,1,5,291
88,Sección 799,111,61,5,14,2,17,68,15,3,1,0,3,2,0,0,0,3,305
89,Sección 800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Sección 801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Sección 802,88,86,2,1,2,7,60,11,0,1,0,4,1,1,1,1,1,267
92,Sección 803,55,44,1,8,2,9,49,9,0,0,0,2,0,1,1,2,1,184
93,Sección 804,78,28,2,2,5,4,27,7,2,0,0,0,0,0,0,0,0,155
94,Sección 805,96,39,2,6,0,12,83,9,1,0,0,8,0,0,0,0,6,262
95,Sección 806,68,40,3,13,4,16,93,5,1,0,0,10,0,3,1,0,3,260
96,Sección 807,49,20,2,5,3,11,49,4,2,0,0,10,3,0,3,1,3,165
97,Sección 808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Sección 810,66,45,0,3,0,16,84,6,0,0,0,9,0,1,0,0,4,234
99,Sección 813,49,44,3,12,6,17,144,10,3,0,0,11,0,3,3,0,4,309
100,Sección 814,12,21,1,1,3,11,38,2,0,0,0,6,0,0,0,0,0,95
101,Sección 815,16,25,0,3,5,8,54,4,1,1,0,3,0,3,0,0,1,124
102,Sección 817,21,20,1,4,4,15,55,1,0,0,0,1,0,0,3,1,2,128
103,Sección 818,21,27,1,1,6,13,47,6,0,0,0,8,2,2,0,0,3,137
104,Sección 819,20,19,1,7,3,16,77,7,2,0,0,10,0,4,1,0,8,175
105,Sección 820,36,43,6,20,7,10,75,3,3,0,0,8,1,2,2,2,6,224
106,Sección 821,65,62,0,7,4,3,52,8,1,1,0,2,0,0,1,1,4,211
107,Sección 822,60,32,0,3,2,11,84,7,3,0,0,7,0,0,2,0,0,211
108,Sección 823,33,39,0,17,6,26,166,8,1,0,0,20,3,5,2,0,6,332
109,Sección 824,59,66,2,8,3,23,101,14,0,0,0,8,0,2,0,0,5,291
110,Sección 825,50,50,5,7,6,21,121,5,2,0,0,20,0,1,3,1,2,294
111,Sección 826,54,40,3,9,8,32,139,13,1,0,1,13,3,9,3,0,5,333
112,Sección 827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Sección 828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Sección 829,42,56,2,13,7,29,129,7,1,0,0,9,2,3,1,0,6,307
115,Sección 830,95,67,3,7,4,17,111,8,0,0,0,9,0,0,2,0,5,328
116,Sección 831,27,23,1,6,7,21,115,11,1,0,0,11,1,5,2,0,6,237
117,Sección 832,27,69,4,14,6,28,165,5,1,0,0,12,1,2,1,0,6,341
118,Sección 833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Sección 834,20,30,1,13,5,24,135,9,0,0,0,4,0,2,0,0,2,245
120,Sección 835,47,60,2,21,9,26,178,9,2,1,1,13,1,3,4,0,14,391
121,Sección 836,19,34,1,12,5,21,100,10,2,1,0,12,0,4,0,1,6,228
122,Sección 837,18,12,0,14,2,21,99,5,1,0,1,6,0,2,1,0,5,187
123,Sección 838,16,13,1,5,6,6,75,4,1,0,1,5,1,0,2,1,3,140
124,Sección 839,14,16,2,8,1,18,106,3,0,0,0,16,0,0,0,0,4,188
125,Sección 840,28,28,4,8,10,18,138,6,0,0,0,22,0,1,2,0,6,271
126,Sección 841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Sección 842,22,34,0,13,4,26,96,5,0,0,0,28,0,3,3,0,2,236
128,Sección 843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Sección 844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Sección 845,48,31,2,10,15,20,122,9,1,0,0,8,0,0,1,0,6,273
131,Sección 846,36,22,0,7,6,27,130,3,0,0,0,4,0,4,1,0,6,246
132,Sección 847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Sección 848,24,31,1,6,2,22,76,4,4,0,0,9,0,6,2,0,0,187
134,Sección 849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Sección 850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Sección 851,22,20,0,9,6,18,78,5,1,1,0,10,2,0,2,0,4,178
137,Sección 852,11,6,0,7,3,2,48,1,1,0,0,3,0,0,0,2,0,84
138,Sección 853,65,52,2,10,12,23,123,5,3,0,0,12,0,4,2,0,6,319
139,Sección 857,22,14,0,5,1,3,46,3,2,0,0,1,1,0,2,0,1,101
140,Sección 858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Sección 859,35,26,2,6,3,19,107,4,0,0,0,1,0,0,0,0,5,208
142,Sección 860,32,24,2,10,7,14,81,3,0,1,0,10,2,2,0,0,3,191
143,Sección 861,6,13,0,6,3,12,50,0,0,0,0,4,1,2,1,0,1,99
144,Sección 862,13,16,1,5,4,15,57,0,0,0,0,0,0,0,0,0,5,116
145,Sección 863,7,19,3,3,1,5,91,3,2,0,0,6,0,0,1,0,2,143
146,Sección 864,10,9,1,0,2,14,69,2,1,0,0,4,0,0,2,0,1,115
147,Sección 865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Sección 866,26,43,1,9,3,21,107,8,0,0,0,12,1,2,0,0,4,237
149,Sección 867,27,18,1,3,0,14,83,5,0,0,0,3,0,0,3,0,5,162
150,Sección 868,20,20,0,10,4,11,78,1,0,0,0,4,0,0,3,0,0,151
151,Sección 870,19,23,4,3,6,8,56,2,1,0,0,9,0,4,0,0,1,136
152,Sección 871,11,14,1,6,2,7,47,5,1,0,0,3,0,2,1,2,0,102
153,Sección 872,89,45,1,4,1,6,38,4,5,0,0,1,0,2,1,2,0,199
154,Sección 873,108,53,0,4,6,16,65,14,2,3,0,8,1,4,1,1,5,291
155,Sección 874,28,17,1,2,7,4,79,2,1,0,0,9,1,1,0,0,1,153
156,Sección 875,20,27,4,4,6,9,97,1,0,0,0,6,0,2,0,0,5,181
157,Sección 877,13,16,6,14,4,9,95,1,1,0,0,2,0,5,0,1,5,172
158,Sección 878,15,18,1,5,4,13,93,1,0,0,0,6,0,5,1,1,3,166
159,Sección 879,16,18,0,4,3,12,43,3,0,0,0,4,0,3,0,0,1,107
160,Sección 880,17,15,0,3,4,17,60,2,2,0,0,8,0,3,0,0,0,131
161,Sección 881,76,57,1,3,5,14,73,13,5,1,0,3,1,0,0,0,2,254
162,Sección 883,125,27,4,6,5,8,46,15,2,0,1,3,0,1,1,0,2,246
163,Sección 885,1080,522,24,27,18,109,458,106,18,2,1,30,1,4,2,3,15,2420
164,Sección 886,71,36,4,11,5,15,79,11,1,0,0,7,0,1,2,0,6,249
165,Sección 1206,27,50,2,31,18,67,306,4,3,1,0,26,3,7,2,0,12,559
166,Sección 1207,17,24,0,17,9,45,159,9,2,0,2,15,1,5,3,0,12,320
167,Sección 1208,16,20,4,6,5,15,92,6,0,0,0,16,0,0,4,0,3,187
168,Sección 1209,15,20,2,3,7,22,105,2,0,0,0,14,0,0,0,0,2,192
169,Sección 1211,22,14,2,14,5,31,121,3,1,1,0,11,1,3,2,0,3,234
170,Sección 1212,25,41,5,6,14,18,153,3,0,0,0,2,0,0,1,0,8,276
171,Sección 1213,10,20,3,30,7,12,96,10,0,0,0,0,0,0,0,1,6,195
172,Sección 1214,122,121,10,45,36,147,445,21,5,0,0,40,2,7,3,0,17,1021
173,Sección 1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Sección 1216,83,55,3,6,15,22,161,11,1,1,0,11,0,3,15,0,6,393
175,Sección 1217,67,61,6,52,20,97,428,9,1,0,0,41,6,6,6,1,12,813
176,Sección 1218,244,361,32,170,139,415,2172,33,6,1,0,128,7,35,32,3,53,3831
177,Sección 1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Sección 1220,6,22,0,24,16,28,200,0,0,0,1,25,0,6,0,0,1,329
179,Sección 1221,1,7,0,8,1,2,59,0,0,0,0,0,0,2,0,0,2,82
180,Sección 1222,9,21,3,11,16,13,180,0,0,0,0,5,2,0,0,0,4,264
181,Sección 1223,15,32,1,13,10,12,209,0,0,0,0,8,4,4,0,0,7,315
182,Sección 1224,6,13,3,17,10,6,165,0,0,0,0,0,0,0,0,0,3,223
183,Sección 1225,3,28,1,5,1,1,44,2,2,0,0,8,0,4,1,0,3,103
184,Sección 1226,1,24,0,6,5,8,43,1,0,0,0,0,0,0,0,4,5,97
185,Sección 1227,7,28,1,7,4,1,43,1,2,0,0,0,1,2,0,0,6,103
