,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Sección 151,82,12,3,27,16,60,347,0,1,0,0,16,0,3,1,1,10,579
1,Sección 152,109,12,2,33,21,61,441,3,2,1,0,32,0,5,4,1,16,743
2,Sección 153,84,22,3,38,26,69,420,4,0,0,0,11,3,3,2,0,12,697
3,Sección 154,112,12,1,24,23,89,626,58,0,0,0,10,0,6,3,0,11,975
4,Sección 155,260,31,9,55,34,100,575,9,5,0,0,41,1,9,7,0,24,1160
5,Sección 156,165,20,8,34,40,88,573,9,3,0,0,47,3,19,9,5,13,1036
6,Sección 157,562,100,11,164,96,383,1877,20,11,0,2,158,8,18,24,2,63,3499
7,Sección 158,239,38,6,45,42,114,573,17,3,2,0,44,1,9,5,2,23,1163
8,Sección 159,1119,97,6,86,78,377,1652,67,9,4,1,134,4,10,21,4,29,3698
9,Sección 160,276,19,0,46,32,113,617,14,2,0,0,47,4,11,11,1,23,1216
10,Sección 161,109,15,2,55,37,88,542,9,2,1,0,45,6,8,9,0,16,944
11,Sección 162,166,23,4,46,28,110,528,16,2,0,0,29,3,11,5,1,10,982
12,Sección 163,73,12,3,24,11,53,330,3,0,0,0,19,0,7,10,0,9,554
13,Sección 164,111,19,4,48,30,69,425,6,2,0,0,46,2,5,4,11,9,791
14,Sección 166,135,11,5,43,23,87,574,7,2,0,0,39,4,9,11,0,24,974
15,Sección 167,160,10,5,24,29,135,566,12,1,0,0,55,5,9,12,1,18,1042
16,Sección 168,188,26,4,48,36,118,643,11,4,0,0,50,5,8,4,0,17,1162
17,Sección 169,457,28,4,27,18,77,370,19,6,1,0,38,1,1,2,4,8,1061
18,Sección 170,418,42,5,11,8,73,301,25,5,0,0,9,2,4,1,2,11,917
19,Sección 171,704,50,6,28,24,137,681,28,8,3,0,34,2,5,4,1,15,1730
20,Sección 172,459,36,5,28,19,80,399,30,2,1,0,42,0,4,4,3,2,1114
21,Sección 173,453,40,6,17,20,72,381,27,0,0,0,24,0,0,1,3,8,1052
22,Sección 174,64,10,1,4,5,36,182,5,1,0,0,10,1,2,1,3,5,330
23,Sección 175,53,4,1,13,17,21,234,1,0,0,0,12,2,2,0,0,7,367
24,Sección 177,162,20,4,47,20,110,608,13,1,0,0,60,21,8,13,2,19,1108
25,Sección 178,135,10,0,30,22,98,473,12,1,0,0,33,1,6,2,0,9,832
26,Sección 179,396,46,4,24,16,92,427,22,1,1,0,24,0,0,3,0,6,1062
27,Sección 180,372,31,4,15,9,43,203,18,4,1,0,19,2,1,3,0,7,732
28,Sección 181,168,7,2,17,10,35,147,11,0,0,0,0,0,0,0,0,4,401
29,Sección 182,202,23,0,23,14,67,328,13,1,0,0,30,0,1,3,0,3,708
30,Sección 183,324,25,4,22,17,37,212,18,3,0,0,13,9,0,2,0,3,689
31,Sección 184,398,40,4,11,10,51,295,28,6,1,0,25,2,3,3,0,11,888
32,Sección 185,245,21,3,7,8,34,134,10,3,1,0,9,0,2,5,0,3,485
33,Sección 186,391,22,0,16,7,39,209,29,6,0,0,23,0,2,5,0,5,754
34,Sección 187,346,42,2,46,43,205,853,13,3,0,18,60,3,3,3,0,18,1658
35,Sección 188,277,35,4,33,36,129,680,13,1,0,0,74,1,3,8,3,11,1308
36,Sección 189,574,65,27,71,95,419,1199,53,10,1,17,92,2,16,11,9,445,3106
37,Sección 190,190,26,6,55,39,118,592,6,4,1,0,46,2,9,11,6,17,1128
38,Sección 191,172,13,4,53,48,102,620,7,4,2,0,34,2,12,9,0,24,1106
39,Sección 192,154,29,6,49,50,132,754,16,2,0,0,58,4,10,8,1,19,1292
40,Sección 193,194,23,8,50,40,133,663,10,7,0,0,52,3,8,9,2,21,1223
41,Sección 194,119,19,1,40,26,94,628,4,1,0,0,52,2,7,5,0,15,1013
42,Sección 195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Sección 196,293,33,3,14,9,48,225,13,4,1,0,18,0,3,5,2,8,679
44,Sección 197,425,27,6,21,12,55,288,26,0,0,0,37,0,1,3,2,6,909
45,Sección 198,431,31,5,14,15,52,283,27,2,1,0,21,0,2,3,1,4,892
