,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Sección 122,109,103,21,88,79,196,633,9,1,0,0,49,5,6,5,0,19,1323
1,Sección 123,146,125,23,105,46,186,657,15,7,0,1,51,8,4,4,3,21,1402
2,Sección 124,103,75,20,93,123,250,680,10,2,1,1,47,9,9,16,0,29,1468
3,Sección 125,98,106,24,88,94,207,562,10,7,1,0,36,3,5,21,3,18,1283
4,Sección 126,55,123,37,119,102,301,899,8,6,0,1,49,4,6,14,3,43,1770
5,Sección 127,89,111,37,95,84,253,685,14,3,0,0,46,5,14,15,4,42,1497
6,Sección 128,26,43,8,44,36,88,331,6,2,0,0,32,2,5,5,1,19,648
7,Sección 129,84,81,15,52,37,115,340,9,2,0,1,37,4,5,9,0,17,808
8,Sección 130,126,101,20,16,12,82,181,15,6,1,1,17,0,3,3,1,8,593
9,Sección 131,109,85,12,51,38,154,459,10,4,0,0,29,1,6,6,2,5,971
10,Sección 132,120,94,15,58,43,137,433,7,4,0,1,19,0,4,4,2,16,957
11,Sección 133,99,115,18,55,32,134,300,4,5,2,0,17,5,5,7,4,20,822
12,Sección 134,29,35,3,24,23,96,298,2,0,0,0,29,0,2,5,2,9,557
13,Sección 135,60,55,8,40,36,126,290,15,0,1,0,21,2,1,3,2,11,671
14,Sección 136,57,55,8,12,13,55,145,7,4,0,0,13,0,2,2,0,5,378
15,Sección 137,124,129,27,148,75,299,876,20,6,0,0,38,26,3,9,7,33,1820
16,Sección 138,75,60,11,23,15,68,195,4,3,0,0,13,1,4,1,0,4,477
17,Sección 139,283,250,67,129,108,492,1181,49,11,0,2,111,7,10,22,13,50,2785
18,Sección 140,61,106,28,71,80,256,627,12,9,0,0,43,4,6,5,1,32,1341
19,Sección 141,193,251,71,288,250,642,1594,11,9,1,2,88,4,10,73,6,67,3560
20,Sección 142,100,95,27,146,73,299,708,10,0,0,0,64,0,11,8,0,46,1587
21,Sección 143,171,128,52,150,109,380,987,26,6,1,1,139,4,3,15,2,47,2221
22,Sección 144,201,228,55,204,120,440,1182,23,5,0,1,72,2,6,8,9,62,2618
23,Sección 145,32,53,26,118,96,183,839,4,1,1,0,47,2,15,14,6,46,1483
24,Sección 146,27,51,40,81,74,187,662,2,0,0,0,32,2,6,18,0,23,1205
25,Sección 147,53,64,18,109,81,183,644,1,11,0,0,39,4,7,15,4,30,1263
26,Sección 148,73,100,19,119,77,182,543,7,11,0,2,50,2,10,21,3,29,1248
27,Sección 149,122,114,48,201,177,259,947,16,6,2,1,82,7,25,28,6,62,2103
28,Sección 151,379,162,45,491,331,820,1927,16,9,3,25,86,10,30,24,7,91,4456
29,Sección 152,214,106,34,335,256,566,1196,7,2,0,0,75,4,5,11,1,54,2866
30,Sección 153,95,48,11,207,117,180,630,4,1,0,0,30,3,9,8,0,29,1372
31,Sección 154,110,50,18,154,111,236,757,12,1,0,0,46,6,6,7,1,35,1550
32,Sección 155,84,34,13,142,86,171,537,5,2,0,0,20,5,9,5,0,27,1140
33,Sección 156,69,68,21,117,77,199,600,7,1,1,2,35,6,0,1,0,23,1227
34,Sección 157,37,26,19,68,58,121,405,5,1,0,0,52,0,4,7,2,19,824
