,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Sección 339,68,61,59,24,25,44,701,5,1,0,1,54,0,9,2,0,21,1075
1,Sección 340,47,39,28,20,12,34,364,13,0,1,1,25,0,4,4,0,11,603
2,Sección 341,50,28,21,12,4,25,304,7,0,0,0,22,0,0,2,0,3,478
3,Sección 342,76,45,31,15,15,49,444,11,0,0,0,29,0,0,1,5,11,732
4,Sección 343,37,39,35,22,16,37,576,11,0,0,0,27,0,0,0,0,12,812
5,Sección 344,54,45,12,34,16,53,537,11,1,0,0,21,3,5,1,0,18,811
6,Sección 345,33,29,34,19,11,30,373,5,0,1,1,17,1,12,2,0,21,589
7,Sección 346,49,37,22,14,18,34,514,8,0,0,0,22,5,8,5,4,23,763
8,Sección 347,21,15,6,2,5,3,75,2,0,0,0,3,0,0,0,0,5,137
9,Sección 348,36,16,40,14,13,19,248,4,0,0,0,0,0,23,0,0,16,429
10,Sección 349,66,43,42,49,18,58,697,6,0,0,4,19,4,6,3,0,28,1043
11,Sección 350,47,49,12,36,12,33,382,0,1,0,1,19,6,5,0,0,17,620
12,Sección 351,20,5,22,17,12,22,253,5,0,0,0,14,0,0,0,0,8,378
13,Sección 352,27,17,20,14,15,26,462,0,0,0,0,11,0,3,4,0,21,620
14,Sección 353,32,35,19,24,14,27,539,5,0,0,0,24,1,9,7,0,13,749
15,Sección 354,100,81,32,48,26,55,600,17,2,1,0,32,2,10,3,0,26,1035
16,Sección 355,32,17,17,24,8,11,311,0,1,2,0,14,0,5,6,0,12,460
17,Sección 356,60,12,14,11,15,9,341,2,0,0,0,18,5,1,2,0,17,507
18,Sección 357,29,9,29,6,5,8,190,4,0,0,0,3,2,2,4,1,11,303
19,Sección 358,58,17,51,14,13,32,264,9,0,1,0,10,5,1,2,0,31,508
20,Sección 359,3,2,6,1,3,1,139,0,0,0,0,4,0,1,1,0,6,167
21,Sección 360,39,43,10,19,13,15,622,5,0,0,0,26,5,7,4,0,21,829
22,Sección 361,20,22,9,15,11,26,233,2,0,2,0,6,0,9,1,0,10,366
23,Sección 362,40,78,33,14,8,17,290,7,5,1,0,18,1,2,0,0,15,529
24,Sección 633,122,62,49,52,34,149,870,14,1,0,0,52,6,5,13,0,36,1465
25,Sección 634,103,57,40,50,49,120,808,19,6,0,0,44,6,8,9,1,43,1363
26,Sección 635,85,32,25,27,27,58,542,10,1,0,0,41,3,10,6,0,13,880
27,Sección 636,76,60,13,24,20,72,374,9,3,1,0,30,1,5,6,0,16,710
28,Sección 637,89,56,14,10,12,49,302,8,1,1,0,21,1,14,3,0,8,589
29,Sección 638,93,50,32,36,23,102,663,19,0,1,1,61,2,4,4,1,23,1115
30,Sección 639,25,35,17,36,30,76,463,8,1,1,0,37,4,7,5,1,29,775
31,Sección 640,54,43,12,36,35,73,523,13,4,0,1,32,8,6,5,0,14,859
32,Sección 641,77,40,27,18,16,54,439,18,1,0,0,21,1,12,10,0,9,743
33,Sección 642,35,26,8,5,6,28,157,4,0,0,0,5,2,0,1,0,7,284
34,Sección 643,187,110,32,48,37,140,881,32,2,4,0,64,2,8,14,2,19,1582
35,Sección 644,41,37,8,24,13,21,428,8,2,0,0,15,3,2,2,0,19,623
36,Sección 645,48,27,29,27,22,19,344,6,0,0,0,14,0,3,1,4,30,574
37,Sección 646,10,28,7,17,20,23,346,1,2,1,1,11,2,2,0,1,13,485
38,Sección 647,45,79,4,49,32,46,365,4,5,0,0,31,1,5,7,0,23,696
39,Sección 648,9,13,1,22,13,10,187,2,2,1,0,9,3,4,6,0,5,287
40,Sección 649,30,22,10,17,29,28,301,4,3,2,0,11,2,2,1,0,27,489
41,Sección 650,52,36,24,42,42,36,363,3,5,0,0,19,4,4,2,0,19,651
42,Sección 651,18,11,7,25,27,44,425,5,0,0,0,46,5,11,8,1,28,661
43,Sección 652,41,26,4,50,35,129,506,4,5,0,0,26,7,6,4,0,56,899
44,Sección 653,32,14,4,48,46,23,583,5,0,0,0,56,7,12,4,0,20,854
45,Sección 654,43,31,8,61,53,60,601,6,3,0,0,24,17,9,10,1,38,965
46,Sección 655,54,59,25,26,29,45,516,12,4,0,0,33,7,11,8,0,44,873
47,Sección 1641,115,39,5,18,17,52,479,15,2,0,0,20,0,9,5,0,18,794
48,Sección 1642,94,47,0,12,21,42,640,8,5,6,0,41,3,9,11,0,11,950
49,Sección 1643,45,43,2,13,14,20,244,8,1,0,0,18,3,3,2,0,9,425
50,Sección 1644,13,10,2,8,9,13,105,1,1,0,0,3,1,3,2,0,3,174
51,Sección 1645,51,89,15,44,43,38,301,9,0,0,0,29,0,0,0,0,43,662
52,Sección 1646,102,57,11,32,36,37,249,4,8,0,0,14,1,3,1,1,25,581
53,Sección 1647,68,62,11,25,44,66,407,8,3,1,0,14,3,3,2,0,20,737
54,Sección 1648,67,76,1,41,54,109,536,14,3,0,0,34,2,2,4,0,24,967
55,Sección 1649,29,19,2,17,31,20,226,4,0,0,0,6,3,1,2,0,11,371
56,Sección 1650,40,25,2,19,42,21,259,11,4,0,0,21,3,8,3,0,17,475
57,Sección 1651,34,39,2,29,28,22,602,5,1,0,0,34,0,5,2,1,25,829
58,Sección 1652,31,31,7,20,24,21,480,8,0,0,0,51,2,8,6,0,57,746
59,Sección 1653,39,45,6,37,26,37,459,7,2,0,0,41,5,13,8,0,19,744
60,Sección 1654,21,8,0,8,16,31,237,0,0,0,0,5,1,2,1,0,9,339
61,Sección 1655,30,18,1,17,37,26,383,1,1,0,0,15,5,6,2,0,8,550
62,Sección 1656,8,3,1,20,9,11,287,0,1,0,0,21,2,4,2,0,10,379
63,Sección 1657,21,32,6,18,29,37,374,2,0,0,0,44,1,11,2,0,13,590
64,Sección 1658,40,24,3,25,10,43,330,7,0,0,0,33,0,3,3,0,7,528
65,Sección 1659,81,36,5,11,25,27,257,8,1,0,0,26,0,5,4,0,8,494
66,Sección 1660,30,14,4,15,7,23,210,3,1,0,0,21,0,4,4,0,9,345
67,Sección 1661,37,21,4,12,6,15,198,6,4,0,0,17,0,4,5,0,9,338
68,Sección 1662,40,26,1,13,14,42,325,11,0,1,0,21,2,1,7,0,14,518
69,Sección 1663,36,12,1,7,7,12,130,3,1,0,0,8,1,1,6,0,0,225
70,Sección 1664,62,17,1,14,24,31,306,2,2,2,0,18,2,3,3,0,9,496
71,Sección 1665,159,77,13,50,42,47,605,22,2,1,0,40,4,4,9,0,44,1119
72,Sección 1666,118,162,11,90,72,47,493,13,4,0,1,15,1,0,7,0,53,1087
73,Sección 1667,84,40,5,19,12,28,533,5,4,0,0,19,5,8,11,0,41,814
74,Sección 2379,58,154,88,59,79,89,1047,16,0,0,0,30,10,2,6,5,43,1686
75,Sección 2380,55,71,71,37,54,63,501,18,3,1,1,19,2,7,5,0,32,940
76,Sección 2381,32,73,32,33,46,48,607,7,3,0,0,35,11,6,8,0,28,969
77,Sección 2382,26,95,4,18,20,21,201,7,2,1,2,5,0,4,6,0,23,435
78,Sección 2383,71,71,20,26,20,12,261,3,2,2,1,9,0,2,3,0,21,524
79,Sección 2384,74,306,31,28,91,82,790,27,8,2,3,25,4,3,10,2,71,1557
80,Sección 2385,42,242,22,35,48,46,527,29,3,0,0,11,2,5,5,0,37,1054
81,Sección 2386,98,273,45,42,62,62,569,34,3,2,1,30,5,6,7,0,48,1287
82,Sección 2387,44,97,16,30,55,39,727,11,1,1,2,37,3,11,6,0,25,1105
83,Sección 2388,52,237,68,16,50,33,910,16,2,0,0,33,5,1,9,0,20,1452
84,Sección 2389,44,94,27,40,28,40,839,3,2,0,1,15,1,7,7,0,23,1171
85,Sección 2805,90,52,23,50,61,48,579,12,1,1,1,22,3,4,2,0,17,966
86,Sección 2806,108,73,14,35,36,100,597,10,5,1,1,29,4,1,5,1,29,1049
87,Sección 2807,71,63,9,38,39,49,570,9,3,1,1,22,2,6,7,1,21,912
88,Sección 2808,156,76,12,38,74,92,652,19,7,2,0,41,2,4,8,0,34,1217
89,Sección 2809,42,34,2,11,19,23,220,2,1,0,0,12,1,1,1,0,17,386
90,Sección 2810,28,29,7,27,31,33,524,1,1,0,0,38,2,7,7,0,17,752
91,Sección 2811,42,29,7,25,42,33,651,1,1,0,0,25,4,3,8,0,28,899
92,Sección 2812,83,38,7,22,38,19,527,5,3,0,0,19,4,4,10,1,18,798
93,Sección 2813,47,33,2,36,21,28,432,5,2,0,0,19,4,6,2,1,12,650
94,Sección 3328,59,29,8,49,23,64,443,7,1,0,0,48,2,6,8,3,32,782
95,Sección 3329,80,55,14,32,33,102,549,11,2,2,1,35,5,10,4,0,31,966
96,Sección 3330,46,17,1,7,10,51,202,4,2,0,0,18,0,0,8,0,4,370
97,Sección 3331,26,8,3,11,5,35,156,5,1,1,0,13,0,2,5,0,7,278
98,Sección 3332,72,31,0,15,2,34,127,16,2,0,0,19,0,3,2,0,3,326
99,Sección 3333,76,44,4,21,16,100,356,19,1,0,0,25,1,2,6,0,15,686
100,Sección 3334,62,25,4,21,18,68,370,15,1,1,0,41,1,8,7,1,17,660
101,Sección 3335,85,41,8,20,24,116,439,8,1,1,0,36,1,5,6,0,16,807
102,Sección 3336,87,50,5,24,17,64,289,14,2,1,0,38,0,4,2,1,6,604
103,Sección 3337,62,45,6,8,3,51,174,14,0,0,1,23,1,2,1,1,4,396
104,Sección 3338,88,44,4,23,14,76,300,24,2,0,0,17,3,4,2,1,15,617
105,Sección 3339,81,38,3,33,35,110,443,9,2,0,0,34,5,7,5,1,19,825
106,Sección 3340,68,39,13,37,22,81,466,6,2,0,1,42,6,11,10,0,22,826
107,Sección 3341,57,27,5,29,25,49,262,4,2,2,0,29,4,4,7,0,7,513
108,Sección 3342,83,27,3,8,10,51,164,13,0,0,0,9,1,1,2,1,7,380
109,Sección 3343,259,145,14,69,62,188,947,38,11,1,0,112,4,16,14,5,43,1928
110,Sección 3344,104,45,10,34,28,109,591,22,3,1,0,40,5,7,7,3,26,1035
111,Sección 3345,112,53,12,12,17,79,356,10,3,0,0,27,4,3,5,0,9,702
112,Sección 3346,86,30,3,13,12,59,291,10,2,0,0,19,0,2,4,1,18,550
113,Sección 3347,154,61,6,11,11,41,253,30,3,0,0,14,3,4,4,0,3,598
114,Sección 3348,70,33,6,13,21,50,240,10,1,1,0,14,0,3,2,1,7,472
115,Sección 3349,119,39,12,22,17,129,410,11,1,1,0,34,0,2,8,0,21,826
116,Sección 3350,157,71,20,53,65,179,892,19,5,1,0,87,3,13,14,4,41,1624
117,Sección 3351,98,36,12,29,18,78,390,23,8,0,0,31,9,2,12,2,13,761
118,Sección 3352,48,37,7,28,25,77,390,10,8,0,0,37,2,6,3,0,16,694
119,Sección 3353,65,31,1,22,16,75,323,15,2,0,0,35,3,8,4,0,14,614
120,Sección 3354,77,37,4,25,24,75,388,8,2,0,0,40,2,2,8,0,9,701
121,Sección 3355,98,62,12,14,26,183,643,35,0,0,0,88,2,4,8,0,19,1194
122,Sección 3356,75,45,6,46,49,132,670,14,0,0,0,54,7,10,10,0,24,1142
123,Sección 3357,126,53,6,26,32,71,467,11,1,0,1,22,2,8,6,1,11,844
124,Sección 3358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Sección 3359,52,26,6,19,22,24,369,4,2,0,0,21,5,8,4,0,23,585
126,Sección 3360,63,20,4,39,33,70,370,4,2,0,0,27,5,6,6,0,28,677
127,Sección 3361,41,8,3,13,13,19,305,5,1,0,0,17,4,3,3,0,14,449
128,Sección 3362,37,46,7,15,25,45,572,5,2,0,0,34,5,4,5,3,42,847
129,Sección 3363,48,25,4,24,12,46,164,2,1,1,1,5,0,4,1,1,22,361
130,Sección 3364,23,12,4,17,17,15,126,0,2,0,1,13,6,0,2,0,18,256
131,Sección 3366,90,46,13,28,49,123,248,11,2,6,1,16,1,4,8,0,52,698
132,Sección 3367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Sección 3368,60,57,16,51,56,77,668,11,3,0,18,62,12,8,11,0,55,1165
134,Sección 3369,54,47,8,32,9,26,222,9,2,0,0,13,3,4,3,1,26,459
135,Sección 3370,37,15,10,27,27,62,264,5,3,2,0,22,5,12,9,0,22,522
136,Sección 3371,54,41,6,21,25,81,340,11,1,0,1,33,3,7,5,1,28,658
137,Sección 3372,65,63,8,38,19,58,458,12,0,0,2,48,3,7,2,0,19,802
138,Sección 3373,93,54,3,28,29,99,533,9,1,0,0,30,2,7,3,0,18,909
139,Sección 3374,84,50,9,39,38,61,521,12,1,0,0,44,4,10,7,10,15,905
140,Sección 3375,253,109,26,33,52,59,441,23,7,3,2,40,6,3,16,2,45,1120
141,Sección 3376,161,166,20,39,43,64,421,40,19,0,0,17,4,2,4,0,47,1047
142,Sección 3377,72,55,6,16,12,26,179,12,1,0,0,9,0,3,4,2,16,413
143,Sección 3378,127,61,9,70,82,195,1091,26,4,0,1,90,5,19,15,6,64,1865
144,Sección 3379,150,76,14,34,45,149,723,20,1,1,0,41,3,6,5,1,35,1304
145,Sección 3380,33,205,9,26,20,34,202,8,1,0,0,9,0,2,2,0,14,565
146,Sección 3381,44,53,3,49,35,58,385,10,3,0,0,45,0,5,2,0,19,711
147,Sección 3382,36,30,5,32,22,23,270,11,0,0,0,8,0,3,6,0,16,462
148,Sección 3383,59,32,1,22,14,39,328,16,2,0,0,26,5,8,5,0,31,588
149,Sección 3384,47,25,3,21,26,49,408,7,0,0,0,34,15,9,8,0,12,664
150,Sección 3385,30,45,6,13,11,8,101,4,0,0,0,13,0,0,0,0,17,248
151,Sección 3386,105,17,13,14,19,31,201,7,0,1,0,16,3,3,3,0,35,468
152,Sección 3387,34,44,5,12,19,22,213,8,3,0,0,40,5,3,0,0,5,413
153,Sección 3388,48,91,5,10,13,11,167,11,8,0,1,7,0,1,3,0,18,394
154,Sección 3389,55,27,5,46,44,34,419,8,0,1,0,19,3,5,9,0,44,719
155,Sección 3390,87,70,8,42,26,32,241,16,9,2,2,10,5,2,1,1,35,589
156,Sección 3391,33,26,6,18,21,23,124,10,1,0,2,15,4,3,2,0,15,303
157,Sección 3392,46,29,7,30,30,22,248,2,0,0,0,33,2,3,2,0,27,481
158,Sección 3393,10,10,6,5,5,9,133,3,0,0,0,14,0,0,0,2,12,209
159,Sección 3394,68,52,13,31,32,29,214,18,7,1,1,25,11,6,5,1,42,556
160,Sección 3395,30,25,3,14,16,6,115,2,3,0,0,12,4,0,5,3,14,252
161,Sección 3396,48,34,11,23,24,21,182,11,2,1,1,17,1,16,18,0,17,427
162,Sección 3397,188,61,8,34,31,69,475,19,2,1,2,34,5,9,7,0,29,974
163,Sección 3398,55,27,14,42,114,34,291,13,0,0,0,45,4,2,1,0,39,681
164,Sección 3399,19,19,3,27,11,5,84,7,0,0,0,7,0,0,0,0,9,191
165,Sección 3400,15,50,1,4,1,5,28,1,0,0,0,5,0,0,0,0,4,114
166,Sección 3401,24,45,4,3,12,16,221,3,0,1,0,6,0,1,3,2,15,356
167,Sección 3402,25,25,2,13,13,11,130,3,0,0,0,4,2,0,2,2,15,247
