,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Sección 436,30,28,11,31,156,61,243,5,0,0,0,17,6,2,5,1,15,611
1,Sección 437,31,66,12,39,179,105,283,5,2,0,0,18,6,4,15,0,24,789
2,Sección 438,18,59,7,30,103,45,165,8,0,1,0,19,1,3,12,0,18,489
3,Sección 439,19,43,12,24,113,79,184,4,0,0,0,16,5,2,7,4,15,527
4,Sección 440,6,22,2,18,33,9,41,1,0,0,0,7,4,1,6,0,7,157
5,Sección 441,34,56,9,112,299,146,316,8,1,2,0,32,15,6,13,0,51,1100
6,Sección 442,14,22,2,58,134,115,179,3,0,1,0,14,4,3,7,0,26,582
7,Sección 443,6,19,1,18,92,41,124,5,0,13,0,0,0,0,0,0,8,327
8,Sección 444,0,22,2,24,74,13,84,1,0,0,0,7,0,3,5,0,5,240
9,Sección 445,8,27,18,75,234,50,226,3,0,0,0,24,2,1,6,0,16,690
10,Sección 446,22,33,3,24,62,58,166,0,0,0,0,0,0,0,0,0,17,385
11,Sección 447,27,19,6,25,102,56,229,2,0,0,0,6,4,0,2,0,20,498
12,Sección 448,14,26,7,55,173,81,262,1,1,0,0,32,0,1,3,0,15,671
13,Sección 449,10,14,6,152,107,45,68,4,0,0,0,6,4,2,3,0,15,436
14,Sección 450,4,16,4,63,56,21,126,3,0,0,0,8,5,1,3,0,10,320
15,Sección 451,3,20,5,75,42,38,146,5,0,0,0,12,2,10,5,0,21,384
16,Sección 452,13,37,10,15,245,40,93,10,0,0,0,11,5,1,4,1,21,506
17,Sección 453,10,25,1,12,145,46,65,4,1,1,0,8,5,0,7,0,12,342
18,Sección 454,7,18,2,30,39,26,86,1,0,0,0,7,0,0,0,0,11,227
19,Sección 455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Sección 456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Sección 457,2,9,3,13,40,12,81,0,2,0,0,6,1,2,0,0,7,178
22,Sección 458,7,17,6,32,105,17,87,5,1,0,0,7,0,0,0,0,7,291
23,Sección 459,16,30,5,35,105,43,210,5,0,0,0,9,0,0,5,0,5,468
24,Sección 460,214,130,13,31,38,236,319,50,5,1,1,15,1,2,10,4,17,1087
25,Sección 461,34,52,4,19,13,103,137,7,1,0,0,13,1,5,3,1,5,398
26,Sección 462,31,20,2,16,15,44,88,7,2,0,0,12,0,1,2,0,4,244
27,Sección 463,703,306,32,37,41,224,361,74,9,1,0,31,0,5,10,4,19,1857
28,Sección 464,618,207,9,21,11,61,148,49,8,2,1,10,0,0,2,2,7,1156
29,Sección 465,194,135,16,29,22,169,252,23,5,0,2,21,1,3,4,3,17,896
30,Sección 466,114,85,13,24,31,190,334,19,5,0,0,29,0,3,11,3,14,875
31,Sección 467,196,161,16,36,32,283,370,35,4,0,1,42,0,2,14,0,20,1212
32,Sección 468,61,103,19,32,43,179,423,11,3,0,2,24,3,5,4,3,34,949
33,Sección 469,156,143,18,71,50,227,361,25,3,0,0,24,1,9,8,2,26,1124
34,Sección 471,249,201,16,67,65,387,506,44,11,1,2,45,5,6,12,2,23,1642
35,Sección 472,69,87,11,29,20,153,285,14,3,0,0,25,5,7,4,7,14,733
36,Sección 473,102,85,10,17,20,115,161,20,5,0,0,19,1,7,3,0,9,574
37,Sección 474,164,81,15,9,10,75,87,9,2,0,0,10,0,3,1,1,12,479
38,Sección 475,150,84,4,15,23,91,122,19,0,0,0,12,0,2,5,2,5,534
39,Sección 476,128,60,6,7,10,63,92,20,3,0,0,7,0,0,1,0,3,400
40,Sección 477,329,158,14,23,30,245,276,61,7,0,3,28,5,2,10,2,10,1203
41,Sección 478,36,42,6,8,7,63,110,9,1,0,0,7,1,4,2,0,12,308
42,Sección 479,27,21,2,11,12,67,103,3,0,1,2,7,1,3,2,1,7,270
43,Sección 480,105,60,7,6,8,85,91,13,1,1,0,17,0,4,6,2,5,411
44,Sección 481,29,35,3,20,8,69,126,6,1,0,0,9,2,3,0,0,3,314
45,Sección 482,79,72,9,23,13,80,101,0,0,0,0,0,0,0,0,1,7,385
46,Sección 483,51,49,2,6,7,91,135,8,2,0,0,10,0,3,1,0,9,374
47,Sección 484,95,64,10,3,5,44,93,24,0,1,0,6,0,2,2,0,7,356
48,Sección 485,60,47,7,19,15,79,135,18,2,0,0,18,2,3,4,3,14,426
49,Sección 486,51,65,4,11,16,115,159,12,4,0,0,11,4,5,2,1,14,474
50,Sección 487,64,74,3,14,16,106,149,11,2,0,0,12,2,2,3,5,15,478
51,Sección 488,203,128,11,32,41,178,387,24,3,1,0,34,0,9,8,4,19,1082
52,Sección 489,51,62,5,20,16,106,169,12,1,0,0,17,3,6,4,1,10,483
53,Sección 490,111,90,5,7,10,70,141,9,5,1,0,18,1,1,3,0,11,483
54,Sección 491,369,199,24,43,58,416,497,64,8,1,0,57,2,5,12,1,26,1782
55,Sección 492,189,93,4,6,5,60,81,32,5,0,0,14,1,2,4,0,8,504
56,Sección 493,62,45,9,22,8,90,145,8,0,0,0,10,1,1,2,3,21,427
57,Sección 494,316,235,12,67,60,482,607,61,16,3,1,57,5,3,12,2,41,1980
58,Sección 495,64,61,5,12,16,80,139,10,0,0,0,19,2,0,4,3,6,421
59,Sección 496,230,118,6,10,20,106,144,18,4,0,0,10,0,2,4,8,14,694
60,Sección 497,75,71,3,7,4,38,81,10,1,2,0,10,0,2,2,2,1,309
61,Sección 498,100,52,11,5,11,64,116,14,0,0,0,12,0,2,0,0,6,393
62,Sección 499,146,92,8,4,11,57,118,29,2,2,0,9,2,0,0,1,7,488
63,Sección 500,331,179,16,36,42,283,423,54,5,0,1,38,0,5,6,7,19,1445
64,Sección 501,185,95,9,17,17,170,222,18,1,0,0,25,2,1,0,2,10,774
65,Sección 502,61,79,5,22,14,126,218,13,2,0,0,30,3,1,4,0,22,600
66,Sección 503,176,132,6,32,33,262,400,33,7,1,0,44,4,6,7,4,34,1181
67,Sección 504,68,71,8,20,22,149,221,7,4,0,0,12,1,4,4,3,12,606
68,Sección 505,88,79,12,15,13,57,118,0,0,0,0,0,0,0,0,4,5,391
69,Sección 506,56,69,10,29,18,126,195,12,3,1,1,18,2,6,3,0,12,561
70,Sección 507,283,421,36,140,159,975,1549,60,15,1,3,141,12,28,42,12,89,3966
71,Sección 508,65,67,3,28,24,176,206,17,2,0,0,34,2,3,7,1,15,650
72,Sección 509,49,86,10,28,22,173,317,17,2,1,1,8,5,13,10,4,21,767
73,Sección 510,206,216,20,61,76,504,622,40,9,3,1,64,4,16,15,4,45,1906
74,Sección 511,4,33,3,6,8,21,114,3,1,0,0,2,0,0,4,0,10,209
75,Sección 512,7,60,2,25,14,41,219,10,0,0,0,11,3,3,4,0,15,414
76,Sección 513,11,75,6,23,26,95,200,6,3,0,0,12,2,6,2,0,11,478
77,Sección 514,20,89,8,22,21,112,367,2,2,2,1,9,1,8,11,0,32,707
78,Sección 515,7,102,3,17,13,50,170,7,1,0,0,13,3,6,5,0,18,415
79,Sección 516,4,21,3,14,89,34,181,1,0,0,1,0,1,0,0,0,9,358
80,Sección 517,5,113,4,22,23,31,309,2,0,0,0,18,7,8,2,0,17,561
81,Sección 518,30,126,7,27,20,91,250,3,1,0,0,21,3,5,8,1,20,613
82,Sección 519,35,73,7,21,15,86,231,16,2,1,0,20,3,4,5,1,12,532
83,Sección 520,23,182,9,31,42,226,505,9,2,0,2,41,3,7,14,0,34,1130
84,Sección 521,49,230,9,54,58,308,706,19,6,2,0,31,1,10,16,5,33,1537
85,Sección 522,21,73,4,22,28,129,267,8,0,0,0,21,5,7,9,3,21,618
86,Sección 523,15,122,3,24,27,98,362,3,4,0,0,18,1,5,2,0,12,696
87,Sección 524,43,233,13,31,61,238,721,19,2,1,1,27,1,6,16,3,18,1434
88,Sección 525,5,17,44,5,69,24,174,0,0,0,0,4,0,0,2,0,15,359
89,Sección 526,16,70,18,9,186,42,191,1,0,0,0,1,1,3,1,0,17,556
90,Sección 527,84,199,94,37,291,298,616,12,2,0,2,17,4,7,21,2,44,1730
91,Sección 528,84,76,53,27,119,200,345,9,1,1,0,30,2,6,3,0,33,989
92,Sección 529,58,148,37,36,213,273,412,13,0,0,0,12,2,2,8,2,25,1241
93,Sección 530,30,113,62,30,210,230,353,7,0,0,1,15,3,19,5,1,33,1112
94,Sección 531,26,125,31,14,121,143,247,5,0,1,0,12,1,2,5,0,20,753
95,Sección 532,34,84,48,13,133,182,264,5,4,0,0,12,0,2,5,0,17,803
96,Sección 533,43,90,24,17,142,184,283,9,1,0,0,12,1,2,3,1,18,830
97,Sección 534,32,98,7,12,57,112,323,5,1,2,1,17,1,5,6,0,11,690
98,Sección 535,47,95,9,33,30,153,405,5,3,0,0,24,0,7,8,1,13,833
99,Sección 536,27,95,10,19,32,85,356,14,0,0,0,18,6,1,4,0,19,686
100,Sección 537,29,73,5,23,35,70,357,7,1,0,0,16,3,8,6,0,19,652
101,Sección 538,45,53,3,30,37,162,378,12,0,0,0,36,2,6,3,6,11,784
102,Sección 539,168,259,20,67,85,682,1019,37,2,0,2,93,8,18,24,6,56,2546
103,Sección 540,36,147,11,20,17,145,312,6,3,0,1,11,2,3,3,6,16,739
104,Sección 541,7,94,0,2,6,44,202,3,1,0,0,4,2,1,0,0,10,376
105,Sección 542,27,94,8,14,17,97,183,10,7,1,0,21,0,6,5,0,16,506
106,Sección 543,37,185,13,32,47,183,390,17,5,1,2,24,3,10,7,0,28,984
107,Sección 545,7,52,3,10,9,39,107,3,1,0,1,4,1,1,2,0,8,248
108,Sección 546,4,42,2,6,11,16,81,2,0,0,1,4,2,3,1,0,5,180
109,Sección 547,7,102,3,17,13,50,170,7,1,0,0,13,3,6,5,0,18,415
110,Sección 548,3,8,11,2,26,11,37,0,0,0,0,0,0,0,0,0,0,98
111,Sección 551,115,187,10,51,76,423,740,22,15,11,11,47,21,28,27,4,29,1817
112,Sección 1020,5,73,1,15,19,61,343,0,1,0,0,16,2,0,5,0,4,545
113,Sección 1021,7,72,1,20,22,82,285,4,2,0,0,25,0,2,4,0,3,529
114,Sección 1022,6,83,3,10,24,45,210,0,0,0,0,6,2,1,1,0,13,404
115,Sección 1023,2,102,2,12,8,40,177,1,0,0,0,3,1,0,2,0,11,361
116,Sección 1024,13,134,5,22,16,51,310,3,0,0,1,12,2,1,2,0,16,588
117,Sección 1025,4,179,5,26,12,72,279,6,1,0,0,12,3,3,2,0,20,624
118,Sección 1026,3,173,3,21,19,82,256,2,0,0,1,8,1,7,1,0,18,595
119,Sección 1027,0,33,0,16,3,24,81,2,1,1,0,4,2,1,2,0,5,175
120,Sección 1028,6,91,9,27,9,58,320,4,0,0,0,15,0,8,5,0,14,566
121,Sección 1029,4,42,0,17,26,47,257,0,0,0,0,0,0,0,0,0,7,400
122,Sección 1030,13,220,7,42,43,92,608,5,2,0,0,14,4,5,4,0,14,1073
123,Sección 1031,9,177,1,25,17,63,356,3,1,0,0,9,0,3,6,0,17,687
124,Sección 1032,3,73,1,0,24,23,347,2,0,0,0,21,0,0,0,0,9,503
125,Sección 1033,16,116,2,31,25,113,279,3,1,0,0,7,0,4,4,0,13,614
126,Sección 1034,2,65,0,8,14,24,140,5,1,0,0,5,1,1,5,0,3,274
127,Sección 1035,0,35,0,0,0,14,50,1,0,0,0,4,1,0,0,0,0,105
128,Sección 1094,29,245,4,21,21,137,416,9,0,0,1,13,1,2,5,0,17,921
129,Sección 1095,24,209,2,12,21,96,287,0,0,0,0,4,1,0,2,0,18,676
130,Sección 1096,34,169,1,10,14,61,276,2,3,1,0,5,0,1,3,1,13,594
131,Sección 1097,48,346,8,22,41,111,483,7,2,0,0,15,6,5,6,0,31,1131
