,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 38,86,184,22,17,40,89,324,14,2,0,3,9,2,0,4,1,15,812
3,Sección 39,93,196,8,16,29,55,219,5,6,0,0,10,1,1,5,0,11,655
4,Sección 40,53,123,6,16,36,34,169,11,6,0,0,7,0,3,0,0,15,479
5,Sección 41,82,177,7,10,51,52,263,6,4,2,0,9,1,3,11,1,19,698
6,Sección 43,22,47,2,4,7,4,87,0,3,1,0,5,1,1,2,0,6,192
7,Sección 46,10,47,1,3,3,4,27,4,4,0,0,2,0,0,2,0,7,114
8,Sección 47,5,22,0,2,3,4,29,1,0,0,0,2,1,0,0,0,2,71
9,Sección 48,12,86,5,7,6,7,69,0,1,0,0,0,0,3,1,0,4,201
10,Sección 49,6,67,0,6,12,9,48,1,0,0,0,3,0,0,0,0,2,154
11,Sección 50,13,26,2,4,5,19,41,1,1,0,0,1,0,1,0,0,4,118
12,Sección 51,6,17,2,2,7,9,58,0,0,0,0,0,0,0,0,0,3,104
13,Sección 52,6,20,2,2,14,6,73,1,1,0,0,1,2,0,1,0,6,135
14,Sección 53,30,64,2,7,21,36,220,10,0,0,0,14,0,0,0,0,4,408
15,Sección 54,28,74,3,4,25,28,189,1,1,0,0,7,0,2,4,0,7,373
16,Sección 55,19,116,2,13,14,13,183,10,0,0,0,14,0,0,0,0,8,392
17,Sección 102,77,322,6,70,30,80,196,13,7,1,0,16,1,2,0,0,45,866
18,Sección 103,39,158,1,43,13,54,131,8,5,0,0,11,0,5,0,0,13,481
19,Sección 104,11,152,0,48,6,7,44,5,2,1,3,3,0,0,3,0,50,335
20,Sección 105,11,92,0,19,10,9,100,5,2,0,0,4,2,2,2,0,16,274
21,Sección 106,18,327,0,61,13,17,137,31,9,0,0,22,2,2,0,0,100,739
22,Sección 107,13,124,2,26,10,23,80,9,1,0,0,2,0,2,3,0,17,312
23,Sección 108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Sección 109,7,143,0,5,3,15,6,0,0,0,0,0,1,1,0,0,18,199
25,Sección 110,14,161,0,32,0,56,49,0,0,0,0,0,0,0,0,0,73,385
26,Sección 111,17,400,4,61,6,218,32,5,14,0,1,0,0,1,0,0,81,840
27,Sección 112,20,21,2,22,6,36,3,18,0,0,0,3,0,0,0,0,20,151
28,Sección 113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Sección 114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Sección 115,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
31,Sección 116,31,254,6,11,16,10,253,9,22,0,0,17,3,3,3,0,63,701
32,Sección 117,46,194,9,8,28,11,267,4,7,1,3,5,6,1,1,0,108,699
33,Sección 118,7,30,1,6,6,0,71,0,0,0,0,2,0,0,1,0,8,132
34,Sección 119,36,48,5,8,16,14,72,77,0,1,0,113,1,1,3,5,90,490
35,Sección 120,15,91,5,5,18,3,91,0,0,0,0,0,0,0,1,0,47,276
36,Sección 121,66,112,13,33,33,13,191,8,7,3,0,5,4,6,2,0,123,619
37,Sección 122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Sección 123,9,41,1,11,7,3,122,1,2,0,0,6,2,4,2,1,23,235
39,Sección 124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Sección 125,10,88,4,15,13,7,329,2,4,1,1,9,4,4,2,0,63,556
41,Sección 126,6,44,1,4,5,2,198,0,1,0,0,3,1,2,1,0,17,285
42,Sección 127,32,13,0,2,6,31,69,0,1,0,0,1,0,0,1,0,5,161
43,Sección 128,112,29,4,9,8,100,171,1,6,0,0,4,0,3,4,0,13,464
44,Sección 129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Sección 130,354,38,4,23,31,315,372,14,7,0,3,14,1,6,6,0,50,1238
