,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Sección 2560,118,62,18,41,41,94,583,14,2,0,0,52,0,16,7,1,22,1071
1,Sección 2561,109,47,19,35,24,68,499,14,1,0,0,29,4,10,8,3,21,891
2,Sección 2564,95,45,8,32,35,68,434,8,2,1,1,17,2,4,5,0,7,764
3,Sección 2565,132,50,14,41,43,97,621,16,6,1,1,89,3,11,15,1,19,1160
4,Sección 2566,98,49,13,53,36,91,570,24,0,1,0,78,6,11,14,1,34,1079
5,Sección 2567,120,49,24,41,53,118,577,21,3,2,0,81,9,7,8,4,12,1129
6,Sección 2568,85,45,8,36,28,52,470,11,1,1,0,45,5,6,11,1,11,816
7,Sección 2569,89,24,13,25,33,75,381,4,0,0,0,18,1,2,3,1,48,717
8,Sección 2572,67,70,11,35,39,68,560,12,2,0,0,65,10,12,6,13,12,982
9,Sección 2573,67,39,5,49,43,87,507,14,2,0,0,55,3,6,5,1,29,912
10,Sección 2574,148,89,21,80,70,160,1149,32,2,3,1,134,8,24,21,1,33,1976
11,Sección 2575,64,41,18,30,50,73,686,14,3,0,0,89,7,9,18,1,17,1120
12,Sección 2576,50,21,4,29,36,43,567,6,1,0,0,55,4,12,8,0,13,849
13,Sección 2577,74,36,10,39,41,66,490,10,5,0,0,96,5,14,11,2,18,917
14,Sección 2578,72,32,17,46,37,60,535,18,3,0,0,81,5,19,15,2,18,960
15,Sección 2579,83,21,6,33,37,59,488,8,0,0,1,71,1,9,13,0,18,848
16,Sección 2580,102,40,23,34,48,56,823,15,2,1,2,123,9,17,16,0,26,1337
17,Sección 2584,68,29,26,31,33,67,590,8,1,0,1,40,4,15,9,0,15,937
18,Sección 2585,88,32,23,32,32,68,465,16,1,1,0,58,3,8,8,0,19,854
19,Sección 2586,169,80,16,71,56,128,807,19,4,1,0,158,1,9,12,1,35,1567
20,Sección 2587,125,62,16,48,45,123,610,10,3,2,0,66,6,16,8,4,20,1164
21,Sección 2588,105,58,13,32,45,122,478,14,2,0,0,61,4,10,6,0,21,971
22,Sección 2589,74,40,9,36,37,69,472,12,2,0,0,66,3,7,7,0,9,843
23,Sección 2590,111,54,20,60,56,101,764,16,2,1,1,106,9,19,8,1,29,1358
24,Sección 2591,119,65,31,74,73,90,942,18,4,4,1,106,6,17,29,1,30,1610
25,Sección 2592,44,27,10,33,31,61,535,6,1,1,0,42,5,5,12,0,12,825
26,Sección 2593,45,30,12,53,23,60,582,11,2,0,0,63,15,7,14,1,21,939
27,Sección 2594,73,43,18,43,44,77,736,15,0,2,0,66,9,14,12,2,11,1165
28,Sección 2595,81,41,5,36,35,66,633,9,0,0,0,52,3,10,10,0,15,996
29,Sección 2596,67,32,11,31,49,54,612,10,2,1,0,75,7,14,14,1,26,1006
30,Sección 2597,64,34,9,35,57,65,661,7,1,1,1,93,7,14,21,3,27,1100
31,Sección 2598,57,41,12,38,42,62,524,2,1,1,0,90,4,4,18,0,18,914
32,Sección 2599,54,29,5,31,29,54,278,4,2,0,0,47,5,12,6,2,10,568
33,Sección 2600,44,33,13,34,56,61,616,11,2,1,1,75,4,14,6,0,12,983
34,Sección 2601,58,35,9,37,44,64,689,8,0,1,0,96,7,11,17,1,20,1097
35,Sección 2602,46,29,14,40,37,54,584,4,1,0,0,58,8,7,12,0,18,912
