,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,7,0,0,1,1,11,4,0,0,0,11,1,2,0,0,1,39
2,Sección 170,61,60,41,184,46,243,435,6,2,0,0,51,4,9,5,2,11,1160
3,Sección 171,54,48,32,198,38,156,299,2,1,0,0,43,4,7,1,3,60,946
4,Sección 172,32,40,26,67,30,95,195,1,3,0,1,18,3,8,4,0,12,535
5,Sección 173,41,67,24,99,22,102,262,1,1,0,0,20,4,8,0,0,9,660
6,Sección 174,34,33,38,75,26,82,228,3,1,0,10,12,8,3,2,1,22,578
7,Sección 175,43,42,15,44,15,48,111,3,2,0,0,8,3,1,0,0,5,340
8,Sección 176,21,20,23,40,10,51,96,4,0,0,0,10,0,0,0,0,4,279
9,Sección 177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Sección 178,32,23,51,153,20,105,281,1,1,1,1,4,6,5,7,1,8,700
11,Sección 179,33,36,21,68,20,77,221,3,5,0,0,19,4,8,2,0,10,527
12,Sección 180,22,43,19,85,17,51,140,6,0,0,0,17,5,6,0,0,11,422
13,Sección 181,33,49,26,117,10,58,183,3,1,0,0,11,5,4,2,0,15,517
14,Sección 182,24,46,16,104,16,74,226,6,0,2,0,14,6,22,10,0,14,580
15,Sección 183,24,34,19,206,21,75,192,2,3,0,1,5,3,16,1,0,33,635
16,Sección 184,5,8,6,91,7,23,132,2,0,0,0,10,1,11,0,0,6,302
17,Sección 185,23,22,14,67,14,67,188,1,0,0,0,10,5,9,2,0,2,424
18,Sección 186,22,33,22,108,8,61,254,2,2,1,0,25,2,2,2,0,20,564
19,Sección 187,22,27,35,115,18,57,219,0,1,0,0,12,2,10,2,0,12,532
20,Sección 188,33,34,42,138,35,100,430,2,1,0,0,37,3,11,4,0,31,901
21,Sección 189,38,31,17,23,2,26,74,1,1,0,0,4,0,1,1,0,7,226
22,Sección 190,47,30,9,36,12,36,134,2,6,0,0,12,0,0,0,0,9,333
23,Sección 191,57,56,10,83,86,262,436,7,0,0,0,10,4,2,1,0,58,1072
24,Sección 192,69,116,9,76,61,207,418,5,3,0,0,9,2,3,3,0,36,1017
25,Sección 193,7,16,3,19,12,45,100,0,0,0,0,6,1,0,0,0,7,216
26,Sección 194,19,14,4,15,18,47,158,0,0,0,0,0,1,0,1,0,13,290
27,Sección 195,20,17,2,33,22,83,152,1,0,0,0,10,3,3,3,0,16,365
28,Sección 196,11,14,3,32,19,41,149,0,1,0,0,4,0,0,2,0,17,293
29,Sección 197,9,6,1,14,8,23,113,1,0,0,0,1,0,2,0,0,5,183
30,Sección 199,14,42,2,29,16,117,292,0,0,0,0,8,4,1,1,0,24,550
31,Sección 200,53,141,2,29,11,38,168,7,1,0,0,22,0,0,7,0,6,485
32,Sección 202,81,81,8,73,27,127,466,5,6,0,0,41,1,8,6,0,27,957
33,Sección 203,41,66,2,29,19,55,189,6,3,0,1,10,3,2,2,1,9,438
34,Sección 204,11,17,5,24,9,40,185,0,0,0,0,12,0,6,2,0,7,318
35,Sección 205,39,45,4,24,13,53,220,6,2,0,0,14,1,7,6,0,16,450
36,Sección 206,77,48,6,47,18,95,472,6,1,0,0,49,10,9,9,5,17,869
37,Sección 207,30,42,1,15,3,33,151,0,0,0,0,0,0,0,0,0,9,284
38,Sección 208,40,38,1,28,8,62,217,3,3,0,0,14,1,3,2,2,9,431
39,Sección 209,36,54,4,25,16,58,236,4,4,0,2,20,2,4,3,1,11,480
40,Sección 210,29,34,5,27,15,58,255,4,2,0,0,36,1,11,5,1,5,488
41,Sección 211,38,49,5,76,33,104,507,4,8,0,0,48,2,8,13,2,27,924
42,Sección 212,46,32,2,17,8,49,123,3,0,0,0,11,4,1,3,0,6,305
43,Sección 213,41,20,1,27,11,29,150,3,3,0,0,16,0,5,2,0,9,317
44,Sección 214,62,40,2,32,18,70,304,4,6,0,0,22,0,4,6,0,0,570
45,Sección 215,37,47,2,75,23,67,443,1,1,0,0,15,0,5,2,17,50,785
46,Sección 216,72,71,6,95,44,132,626,5,5,0,1,61,8,9,9,2,27,1173
47,Sección 217,47,57,3,47,16,76,256,5,2,1,0,26,0,9,5,2,8,560
48,Sección 218,55,31,1,20,8,41,149,1,2,0,0,16,0,3,9,0,5,341
49,Sección 219,45,30,3,61,13,74,298,13,0,0,0,35,0,20,0,2,7,601
50,Sección 220,73,51,4,27,3,36,104,9,1,0,0,13,1,1,3,0,0,326
