,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Sección 963,214,22,1,12,22,62,251,7,1,1,0,6,1,1,4,3,11,619
1,Sección 964,88,8,4,16,13,46,283,3,1,1,0,17,2,4,2,0,12,500
2,Sección 965,1091,75,10,54,38,314,1085,51,10,2,0,72,0,7,17,3,35,2864
3,Sección 967,610,82,19,64,85,333,1134,36,10,2,1,65,3,12,12,5,58,2531
4,Sección 968,71,11,4,9,3,34,69,3,1,1,0,11,0,1,4,0,2,224
5,Sección 969,89,11,2,15,17,49,276,7,5,0,0,21,1,6,14,1,9,523
6,Sección 970,67,7,2,8,6,29,152,3,0,0,0,7,1,2,2,2,4,292
7,Sección 971,180,15,1,6,18,72,192,14,0,0,0,17,0,9,0,0,9,533
8,Sección 976,158,22,0,10,10,41,132,14,3,1,1,17,0,2,11,0,1,423
9,Sección 977,151,19,3,10,16,53,206,16,2,0,0,25,3,4,1,3,12,524
10,Sección 978,192,11,2,18,24,72,270,10,2,0,0,19,1,2,4,0,11,638
11,Sección 979,117,7,4,26,11,53,297,8,4,0,0,21,1,6,5,0,12,572
12,Sección 980,619,62,17,73,213,275,1475,105,8,0,1,259,11,23,19,0,42,3202
13,Sección 981,120,10,5,22,19,37,255,0,0,1,0,14,1,2,4,0,10,500
14,Sección 982,683,93,14,63,51,237,972,51,17,3,0,103,11,0,25,6,48,2377
15,Sección 983,218,23,3,7,13,55,165,9,1,0,0,11,0,2,3,0,4,514
16,Sección 984,139,12,0,3,10,34,178,11,2,0,0,8,0,1,2,1,6,407
17,Sección 985,123,9,3,1,3,31,86,0,0,0,0,9,1,0,1,0,8,275
18,Sección 986,149,10,1,2,3,29,113,7,2,0,0,5,1,1,2,0,7,332
19,Sección 988,204,31,0,1,5,14,54,12,2,1,0,9,2,0,1,1,0,337
20,Sección 989,296,15,2,7,8,25,141,6,2,0,0,11,0,1,2,1,8,525
21,Sección 990,99,11,4,5,9,35,146,2,4,1,0,11,1,0,3,0,1,332
22,Sección 991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Sección 992,227,24,2,11,11,46,157,7,4,0,0,10,0,2,2,1,10,514
24,Sección 993,292,29,2,11,4,32,150,12,4,0,0,3,3,2,4,2,11,561
25,Sección 994,188,15,4,14,10,48,254,7,2,1,0,11,3,0,4,0,14,575
26,Sección 995,156,21,9,10,13,48,189,8,1,2,0,10,1,2,0,2,7,479
