,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Sección 12,212,43,13,404,153,245,824,11,4,0,0,65,7,9,12,2,37,2041
1,Sección 13,151,40,12,253,107,199,699,10,1,0,1,25,6,13,8,1,27,1553
2,Sección 14,98,19,6,228,63,131,576,3,0,0,0,26,4,3,3,1,8,1169
3,Sección 15,178,37,14,346,126,168,783,13,4,1,0,57,13,11,9,0,56,1816
4,Sección 16,54,15,7,105,28,53,291,8,0,1,0,19,2,11,9,2,24,629
5,Sección 17,69,15,2,140,62,90,454,3,2,0,1,19,3,12,4,0,18,894
6,Sección 18,172,43,9,130,78,110,358,4,4,0,0,30,4,2,7,1,30,982
7,Sección 20,249,30,8,36,16,22,99,15,0,0,0,13,2,1,4,1,10,506
8,Sección 21,276,28,6,6,2,12,65,11,1,1,0,7,0,1,2,1,1,420
9,Sección 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Sección 23,192,20,4,6,6,7,53,12,3,0,0,10,0,0,0,0,4,317
11,Sección 412,73,117,7,84,52,196,364,11,3,0,1,35,5,7,6,0,24,985
12,Sección 413,85,131,12,91,52,221,311,14,7,0,1,27,0,5,6,0,28,991
13,Sección 414,59,130,8,81,71,286,481,13,5,2,4,24,17,7,9,0,28,1225
14,Sección 415,13,24,2,18,12,21,37,5,0,0,0,10,0,0,0,0,4,146
15,Sección 416,111,169,30,97,81,306,680,33,0,0,0,52,3,4,4,1,30,1601
16,Sección 417,71,128,25,149,127,383,788,13,1,0,2,78,5,5,9,8,41,1833
17,Sección 418,110,156,9,82,91,271,541,15,8,0,1,42,5,5,16,0,36,1388
18,Sección 419,50,109,8,191,107,329,476,6,3,0,0,32,6,7,7,0,40,1371
19,Sección 420,120,60,3,60,33,134,298,8,9,1,0,12,0,2,1,3,19,763
20,Sección 421,77,35,3,24,29,97,164,11,1,0,0,26,2,2,7,4,9,491
21,Sección 422,138,63,5,38,29,115,257,19,2,0,0,32,1,0,1,3,15,718
22,Sección 569,147,49,9,84,124,274,956,10,1,1,1,37,6,6,14,0,29,1748
