,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 94,138,755,20,130,50,332,531,17,6,1,1,16,8,12,13,2,37,2069
3,Sección 95,7,136,4,37,8,26,146,0,0,0,0,0,0,1,0,0,19,384
4,Sección 96,13,288,5,183,20,59,224,7,4,0,1,2,7,11,2,0,52,878
5,Sección 97,37,403,12,289,28,105,445,16,7,0,1,28,6,20,7,1,91,1496
6,Sección 98,7,102,8,77,13,27,88,2,1,1,0,7,2,1,0,0,13,349
7,Sección 99,15,161,19,74,26,92,242,1,1,1,1,25,2,4,4,0,18,686
8,Sección 100,57,493,28,261,59,335,503,24,6,0,2,21,12,17,6,5,66,1895
9,Sección 101,73,363,55,382,49,200,544,11,9,2,1,40,2,18,10,0,55,1814
10,Sección 102,78,490,29,182,113,260,820,15,9,0,1,54,3,5,11,0,53,2123
11,Sección 103,40,130,6,54,24,62,244,8,1,1,0,9,1,9,2,0,12,603
12,Sección 104,22,63,6,24,14,28,129,5,1,1,0,6,0,5,2,0,5,311
13,Sección 105,19,153,4,102,27,166,254,1,2,0,0,13,0,4,0,0,19,764
14,Sección 106,45,419,11,219,49,248,429,14,5,0,1,33,5,10,7,0,53,1548
15,Sección 107,26,429,42,211,95,157,595,7,12,0,3,36,4,9,0,2,49,1677
16,Sección 109,12,327,7,106,25,116,247,6,1,0,0,13,6,8,3,1,29,907
17,Sección 110,16,362,9,137,46,135,426,7,2,0,0,21,3,10,4,0,43,1221
18,Sección 111,161,439,22,239,116,377,1140,100,4,0,0,138,5,21,23,4,46,2835
19,Sección 112,95,364,12,302,51,249,961,9,5,1,11,55,1,10,6,0,50,2182
20,Sección 113,70,462,23,151,35,242,484,17,2,0,1,5,3,7,4,11,55,1572
21,Sección 114,51,417,12,123,43,174,245,16,3,0,2,18,0,7,1,0,48,1160
22,Sección 115,41,263,12,165,45,89,386,6,2,0,2,23,3,8,2,0,21,1068
23,Sección 116,25,118,11,76,31,77,294,2,3,1,0,25,0,2,2,0,19,686
24,Sección 117,27,192,10,129,54,100,537,7,3,0,1,25,4,10,4,2,29,1134
25,Sección 118,49,483,6,117,43,202,401,9,6,0,0,25,3,7,2,0,43,1396
26,Sección 119,32,251,20,137,48,220,420,12,3,0,1,26,4,3,6,0,39,1222
27,Sección 120,183,600,35,441,147,845,2172,46,4,1,1,182,11,55,43,4,95,4865
28,Sección 121,168,530,60,300,94,408,1012,87,10,0,2,65,23,16,16,8,64,2863
29,Sección 122,68,479,16,151,63,315,695,30,5,0,2,76,4,11,15,3,38,1971
30,Sección 123,84,537,10,224,61,405,751,14,7,0,1,55,6,17,14,0,67,2253
31,Sección 124,65,339,9,134,68,281,559,10,14,0,3,36,2,10,17,0,40,1587
32,Sección 125,78,325,14,247,72,540,974,7,2,0,0,44,2,9,9,0,74,2397
33,Sección 126,73,338,32,202,96,388,790,16,12,0,4,62,8,12,11,1,88,2133
34,Sección 127,31,243,17,113,55,108,402,4,2,0,0,0,9,1,1,1,18,1005
35,Sección 128,70,366,52,228,110,350,1097,4,4,0,3,58,11,21,17,2,67,2460
36,Sección 129,40,225,10,135,66,210,514,7,7,0,0,51,7,12,14,0,45,1343
37,Sección 130,44,395,15,125,41,302,447,12,4,1,0,35,5,7,2,0,46,1481
38,Sección 131,48,360,13,140,40,245,535,15,3,0,0,35,2,5,15,1,21,1478
39,Sección 132,77,267,94,185,59,322,565,16,4,0,0,26,6,9,22,0,57,1709
40,Sección 133,76,427,17,279,50,347,685,17,4,1,1,53,4,16,6,2,74,2059
41,Sección 134,27,292,41,287,46,135,248,3,6,0,1,8,4,17,2,0,51,1168
42,Sección 135,18,263,9,225,28,62,203,13,0,0,0,15,2,8,1,0,42,889
43,Sección 136,46,331,87,163,29,100,291,7,5,1,1,8,2,5,2,0,43,1121
44,Sección 137,38,288,45,248,42,117,295,7,5,0,0,5,2,13,5,1,40,1151
