,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Sección 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Sección 15,144,10,0,10,0,19,32,7,5,0,0,5,1,0,3,0,7,243
5,Sección 16,68,24,2,6,5,74,47,5,5,1,0,7,2,0,0,0,22,268
6,Sección 17,48,14,1,20,9,69,34,8,7,0,0,3,0,0,0,0,16,229
7,Sección 172,575,105,7,91,60,200,610,31,9,1,0,38,3,8,9,3,13,1763
8,Sección 173,107,36,4,55,37,104,190,7,1,0,0,15,3,3,5,1,23,591
9,Sección 174,131,39,2,106,77,165,355,24,3,1,0,40,7,10,13,0,25,998
10,Sección 175,58,34,9,102,77,137,415,7,1,0,1,25,4,7,7,1,34,919
11,Sección 176,88,23,5,76,64,158,567,6,1,15,0,31,1,10,10,0,43,1098
12,Sección 177,78,17,2,57,55,93,365,6,4,0,0,10,20,6,3,1,24,741
13,Sección 178,66,19,4,51,41,78,331,3,0,0,1,20,2,7,3,0,19,645
14,Sección 179,47,14,5,69,55,100,286,2,1,0,1,21,5,6,3,0,27,642
15,Sección 180,104,38,6,45,33,89,201,4,3,0,0,26,3,3,1,0,17,573
16,Sección 181,33,12,1,29,35,60,164,2,0,1,0,20,0,0,0,0,14,371
17,Sección 182,75,27,3,108,113,188,467,5,1,0,1,62,4,2,5,0,34,1095
18,Sección 184,203,84,9,54,26,120,216,29,0,0,0,30,0,0,0,0,14,785
19,Sección 185,171,67,9,42,32,104,482,20,5,1,0,49,4,9,6,2,18,1021
20,Sección 186,170,52,10,41,29,108,214,12,7,1,0,15,4,3,0,0,21,687
21,Sección 187,149,63,7,72,56,160,418,19,0,0,0,23,6,6,9,0,30,1018
22,Sección 188,146,54,6,38,49,99,324,9,3,0,0,21,3,6,4,0,12,774
23,Sección 189,214,66,4,58,75,239,545,46,81,1,3,44,21,3,2,1,24,1427
24,Sección 190,124,45,4,68,58,114,597,8,4,0,0,67,5,4,6,4,20,1128
25,Sección 192,71,30,2,30,32,57,147,1,2,0,0,7,0,3,3,0,8,393
26,Sección 193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Sección 194,19,4,1,21,13,31,91,1,1,0,0,7,2,2,0,0,7,200
28,Sección 195,18,6,0,19,5,20,21,0,0,0,0,0,0,0,0,0,4,93
29,Sección 196,63,17,5,68,56,145,323,1,0,0,0,17,0,1,8,0,17,721
30,Sección 197,35,22,1,53,25,78,145,1,0,0,0,19,0,7,3,0,19,408
31,Sección 198,31,13,1,16,10,52,31,2,1,1,0,2,0,1,1,0,3,165
32,Sección 199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Sección 200,60,35,6,81,27,69,129,0,3,1,0,0,2,1,5,0,17,436
34,Sección 201,57,29,5,120,34,65,138,0,0,0,0,0,0,0,0,0,29,477
35,Sección 202,31,18,1,32,9,16,52,2,0,0,0,3,2,1,0,0,3,170
36,Sección 203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Sección 204,40,17,0,30,15,28,63,1,2,0,0,1,1,0,0,0,11,209
38,Sección 205,66,41,2,40,28,57,177,8,6,0,0,14,5,4,2,0,21,471
39,Sección 206,36,14,0,14,12,24,60,5,5,1,0,11,1,2,1,0,13,199
40,Sección 207,27,14,2,16,8,35,57,0,0,2,0,6,0,0,0,0,6,173
41,Sección 208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Sección 209,39,11,4,18,13,56,59,0,0,0,0,0,0,0,0,0,5,205
43,Sección 210,103,49,7,53,30,122,152,4,1,0,0,16,4,4,1,1,27,574
44,Sección 211,57,31,1,27,20,53,66,1,7,1,0,4,4,2,3,0,16,293
45,Sección 212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
