,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,5
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 80,613,92,18,513,433,262,1724,23,12,2,0,84,25,21,66,0,166,4054
3,Sección 81,302,62,6,160,171,142,864,16,6,1,1,46,5,13,37,4,46,1882
4,Sección 82,309,41,19,170,212,177,1231,12,9,1,0,72,11,10,39,3,63,2379
5,Sección 83,374,51,23,209,239,191,1180,7,9,1,0,40,8,13,20,4,84,2453
6,Sección 84,241,39,12,119,133,123,806,6,5,0,0,31,7,18,27,2,39,1608
7,Sección 85,373,43,19,177,231,200,1783,10,9,1,0,92,15,26,58,0,64,3101
8,Sección 86,130,25,5,184,94,75,747,2,2,0,0,47,11,12,17,2,46,1399
9,Sección 87,624,75,9,101,60,21,235,5,13,4,0,1,1,1,1,0,416,1567
10,Sección 88,131,38,9,103,128,32,217,0,3,1,0,2,3,0,6,2,126,801
11,Sección 89,172,27,10,57,87,28,324,0,3,0,1,2,1,7,3,1,238,961
12,Sección 90,363,113,29,221,226,102,627,3,8,0,1,8,3,3,12,0,348,2067
13,Sección 91,366,78,15,90,100,31,377,7,0,0,0,1,0,1,0,0,189,1255
14,Sección 92,18,8,0,41,15,0,31,1,0,0,0,2,3,3,0,0,4,126
15,Sección 93,3,5,0,15,11,4,19,0,1,0,0,0,4,1,0,0,6,69
16,Sección 94,283,93,8,100,177,62,609,6,4,2,0,29,8,10,21,1,138,1551
17,Sección 95,112,89,12,138,163,32,443,2,7,0,1,21,6,7,3,1,137,1174
18,Sección 97,96,102,15,63,85,44,508,0,3,0,1,3,0,2,1,5,180,1108
19,Sección 98,33,20,3,16,22,6,94,0,3,0,1,4,1,2,1,0,0,206
20,Sección 99,93,27,2,75,63,33,609,3,2,0,0,28,2,16,8,1,26,988
21,Sección 100,165,23,19,54,109,71,569,5,4,1,1,17,5,3,18,0,41,1105
22,Sección 101,20,115,1,29,29,16,142,0,0,1,0,2,1,1,0,0,19,376
23,Sección 107,101,83,8,117,133,267,1672,4,2,2,0,57,3,13,31,0,55,2548
24,Sección 108,101,75,21,90,118,217,1528,10,3,0,0,39,3,13,26,1,74,2319
25,Sección 109,88,46,2,66,77,146,966,1,8,16,16,45,6,10,11,0,34,1538
26,Sección 110,70,70,3,78,111,155,1279,3,0,0,1,46,6,6,26,0,53,1907
27,Sección 111,94,67,8,68,145,253,1389,1,0,0,0,34,2,20,16,0,87,2184
