,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Sección 266,337,70,8,76,53,173,858,150,7,0,1,270,2,20,16,16,58,2115
1,Sección 267,953,75,16,55,43,98,417,44,10,1,0,48,4,9,10,6,35,1824
2,Sección 270,553,136,16,222,150,536,2753,46,16,3,1,305,20,51,66,17,124,5015
3,Sección 272,205,41,11,69,53,176,996,24,7,0,0,101,8,23,20,10,48,1792
4,Sección 274,189,30,6,35,25,136,573,15,2,0,0,71,4,14,7,2,24,1133
5,Sección 280,237,38,2,28,16,94,398,25,11,0,0,40,4,5,8,0,19,925
6,Sección 281,426,67,5,57,38,170,521,31,10,1,0,57,3,9,4,11,27,1437
7,Sección 282,886,180,13,168,109,411,1721,74,26,2,1,187,8,29,33,13,47,3908
8,Sección 294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sección 297,177,41,34,51,20,108,394,16,9,2,0,56,0,7,7,3,9,934
10,Sección 298,164,30,6,43,21,60,323,11,4,2,1,53,2,9,6,1,15,751
11,Sección 299,158,25,4,37,17,72,325,12,9,1,0,50,0,5,8,0,14,737
12,Sección 300,429,79,15,104,75,277,1151,44,10,1,1,126,4,23,18,6,67,2430
13,Sección 301,179,32,1,33,19,89,377,24,4,1,0,45,2,3,6,2,29,846
14,Sección 516,52,47,9,63,45,98,596,3,2,0,0,19,8,8,6,4,36,996
15,Sección 518,194,57,13,75,55,168,864,71,6,0,0,78,40,23,247,7,53,1951
16,Sección 519,89,63,10,73,44,146,566,7,4,0,0,47,7,12,16,3,49,1136
17,Sección 520,869,108,12,65,53,161,600,50,22,2,2,52,1,14,11,3,38,2063
18,Sección 521,131,49,3,32,30,52,231,5,3,0,0,60,4,7,5,0,27,639
19,Sección 522,912,169,8,135,105,375,1448,78,30,4,0,143,9,24,31,5,82,3558
20,Sección 523,115,29,6,59,38,89,457,12,3,0,0,41,6,8,4,0,46,913
21,Sección 524,843,134,15,112,94,251,1254,52,15,4,1,57,10,9,14,4,58,2927
22,Sección 525,126,43,6,44,47,115,634,10,1,1,0,34,7,7,5,3,23,1106
23,Sección 526,138,25,3,73,36,91,759,6,8,0,0,42,8,14,10,1,30,1244
24,Sección 527,381,96,17,102,66,199,798,30,27,2,1,72,9,16,12,11,85,1924
25,Sección 528,175,27,5,26,49,68,554,11,3,0,0,49,4,6,2,8,27,1014
26,Sección 529,963,224,38,236,174,661,3072,71,27,3,3,292,10,34,59,14,133,6014
27,Sección 530,170,43,1,37,20,42,205,8,8,0,0,16,7,7,5,0,23,592
28,Sección 531,247,53,4,48,39,142,501,20,7,0,0,53,0,10,9,2,24,1159
29,Sección 532,218,63,5,52,46,165,535,17,6,4,3,54,4,4,10,6,31,1223
