,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,6
1,Voto en Prisión Preventiva,30,45,15,29,21,75,331,9,1,0,0,46,5,10,12,1,21,651
2,Sección 13,45,19,8,192,23,65,558,6,1,0,0,43,4,21,9,5,31,1030
3,Sección 49,28,16,5,71,31,61,439,5,0,0,0,15,25,5,1,0,20,722
4,Sección 50,45,28,7,197,32,100,667,8,4,1,0,62,8,17,9,2,28,1215
5,Sección 51,20,16,2,250,14,32,274,2,0,1,1,42,2,18,1,0,14,689
6,Sección 70,29,16,7,93,23,53,371,4,3,1,0,29,2,6,10,2,15,664
7,Sección 144,213,29,6,10,8,13,109,9,2,1,0,7,0,4,1,0,4,416
8,Sección 145,149,23,0,8,3,16,100,6,6,0,0,6,1,0,4,0,2,324
9,Sección 146,2385,322,50,76,64,136,752,149,25,9,0,83,9,5,9,13,26,4113
10,Sección 147,1084,189,42,75,67,170,681,135,17,4,16,66,2,11,10,5,41,2615
11,Sección 148,65,19,1,170,12,54,294,4,1,1,0,33,3,6,6,0,19,688
12,Sección 149,147,41,16,157,20,104,509,11,1,1,0,52,0,11,12,2,20,1104
13,Sección 151,669,135,23,276,97,242,1203,56,6,2,1,102,5,34,30,10,50,2941
14,Sección 152,44,12,4,283,23,48,410,7,1,0,0,18,4,16,9,0,25,904
15,Sección 153,23,7,0,284,27,52,329,6,2,0,0,41,1,10,9,1,19,811
16,Sección 155,12,2,3,120,7,19,155,2,0,0,0,18,0,8,3,1,11,361
17,Sección 156,32,23,7,111,19,47,422,6,3,1,0,43,1,3,6,4,16,744
18,Sección 157,81,18,6,81,27,48,409,6,0,0,0,25,1,5,3,1,11,722
19,Sección 158,17,5,0,133,5,19,135,1,1,0,0,20,2,5,4,0,10,357
20,Sección 159,28,8,5,110,9,21,171,2,1,0,0,18,0,5,4,1,6,389
21,Sección 161,987,149,28,33,25,93,310,69,16,6,1,30,1,5,8,3,20,1784
22,Sección 162,108,27,5,6,6,24,85,11,2,1,0,6,0,1,1,0,7,290
23,Sección 163,34,13,1,87,15,21,138,3,1,0,0,15,1,4,0,0,8,341
24,Sección 164,454,130,24,460,84,274,1472,44,9,1,0,113,4,32,27,10,52,3190
25,Sección 165,48,21,3,174,15,41,303,8,0,0,0,29,3,4,4,1,16,670
26,Sección 167,44,22,5,249,16,54,282,6,3,0,0,37,2,15,4,1,11,751
27,Sección 168,2142,400,64,721,157,581,2653,210,28,7,0,226,11,86,53,15,127,7481
28,Sección 169,1910,215,24,45,26,78,377,103,18,2,1,38,1,5,11,4,17,2875
29,Sección 170,957,141,24,18,6,30,167,60,5,5,0,9,0,1,0,0,4,1427
30,Sección 172,21,12,2,392,11,13,160,4,2,0,0,16,5,20,6,5,25,694
31,Sección 173,143,58,3,433,26,96,788,14,1,1,0,50,4,39,8,2,30,1696
32,Sección 579,25,12,2,227,16,42,329,5,0,0,0,27,6,6,5,0,10,712
33,Sección 580,12,6,5,114,4,22,167,1,0,0,0,6,2,5,2,0,5,351
34,Sección 581,12,3,0,74,1,16,104,0,0,0,0,6,0,1,1,0,4,222
35,Sección 582,6,2,2,69,7,5,112,0,0,0,0,12,2,5,0,0,3,225
36,Sección 583,7,3,1,61,3,9,78,1,0,0,0,7,0,0,2,0,4,176
37,Sección 584,1,2,1,49,4,12,38,0,0,0,0,6,0,0,0,0,3,116
38,Sección 585,9,14,3,186,15,33,148,14,0,0,0,10,0,6,3,0,12,453
39,Sección 586,2,3,0,39,3,17,85,1,0,0,0,7,1,3,3,0,5,169
40,Sección 587,4,5,2,78,1,19,90,0,0,0,0,4,0,6,0,0,8,217
41,Sección 588,3,1,0,73,5,10,64,0,0,0,0,5,0,2,2,0,0,165
42,Sección 589,4,3,2,77,5,19,134,1,0,0,0,13,0,1,1,0,3,263
43,Sección 590,6,3,1,106,5,11,107,0,0,0,0,12,1,1,0,0,4,257
44,Sección 591,125,71,15,1269,107,231,2214,12,3,0,2,140,7,21,22,6,107,4352
