,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 34,210,74,18,725,56,139,598,15,7,0,0,10,8,12,6,0,80,1958
3,Sección 35,144,57,5,192,21,103,274,13,4,0,0,18,4,7,4,0,28,874
4,Sección 36,26,11,2,290,8,41,364,1,0,1,0,12,4,7,1,1,10,779
5,Sección 37,22,23,5,132,13,19,152,2,0,0,1,6,0,1,4,0,21,401
6,Sección 38,16,13,2,323,4,20,142,0,0,1,0,2,2,0,1,0,8,534
7,Sección 39,71,41,6,522,19,69,502,3,2,0,0,14,8,12,1,1,36,1307
8,Sección 40,17,7,0,41,0,4,72,3,0,0,0,0,0,0,0,0,7,151
9,Sección 41,115,63,19,413,39,99,397,5,1,1,1,2,2,4,1,0,72,1234
10,Sección 42,48,28,3,397,9,24,322,2,0,2,0,1,1,0,1,1,15,854
11,Sección 43,95,41,8,533,31,47,532,2,3,0,0,1,3,2,1,0,63,1362
12,Sección 44,152,58,12,743,32,81,339,8,3,1,0,6,3,0,4,0,75,1517
13,Sección 45,106,51,9,392,41,88,513,11,2,0,0,10,7,14,1,0,70,1315
14,Sección 46,101,47,8,685,30,61,342,7,6,0,0,3,0,6,8,2,91,1397
15,Sección 47,63,12,4,208,15,19,138,1,3,0,0,1,1,5,1,0,29,500
16,Sección 48,158,38,15,549,49,164,616,7,11,1,0,13,3,4,12,3,78,1721
17,Sección 49,64,16,6,399,24,33,183,2,3,0,0,1,3,8,3,3,30,778
18,Sección 50,48,22,6,309,12,41,130,4,3,1,0,3,0,4,0,0,33,616
19,Sección 51,60,16,3,810,15,63,393,0,0,0,0,1,1,3,3,1,34,1403
20,Sección 52,75,20,5,445,19,36,280,2,1,0,0,13,1,1,0,0,36,934
21,Sección 53,88,44,9,848,26,88,296,6,3,1,0,8,8,8,6,4,48,1491
22,Sección 54,90,53,10,467,31,36,227,8,5,2,0,2,3,0,0,5,62,1001
23,Sección 55,25,22,0,538,15,40,275,3,1,0,0,1,0,1,2,1,41,965
24,Sección 56,34,13,2,530,23,20,239,0,0,0,1,0,0,1,0,0,23,886
25,Sección 57,73,26,8,590,14,75,411,0,1,0,0,1,1,1,1,0,56,1258
26,Sección 58,30,30,4,510,20,39,126,4,0,0,0,6,3,3,0,0,22,797
27,Sección 59,193,54,5,196,14,101,297,3,0,0,0,5,0,2,0,0,22,892
28,Sección 251,91,60,46,153,34,126,266,5,2,1,0,18,4,5,4,0,10,825
29,Sección 252,132,82,60,169,43,206,298,16,0,3,3,21,3,1,4,0,23,1064
30,Sección 253,46,38,39,248,59,87,455,3,5,0,0,13,1,5,6,0,33,1038
31,Sección 254,14,11,18,51,19,20,117,2,0,0,0,9,3,3,1,0,10,278
32,Sección 255,20,15,18,109,34,24,254,2,0,0,0,10,2,4,1,0,13,506
33,Sección 256,27,19,34,202,32,45,339,6,1,0,0,6,4,3,2,0,29,749
34,Sección 257,30,17,36,240,44,76,394,8,1,0,0,20,3,3,5,1,24,902
35,Sección 258,50,38,10,117,15,70,203,8,0,0,0,10,3,1,2,0,16,543
36,Sección 259,60,69,63,262,57,179,628,5,2,1,1,10,8,5,9,2,78,1439
37,Sección 260,84,76,61,237,53,252,464,14,2,2,1,13,2,4,6,3,68,1342
38,Sección 261,15,7,8,74,21,48,109,7,0,0,0,4,2,4,0,0,16,315
39,Sección 262,29,33,26,87,9,4,156,0,0,0,0,5,3,1,2,0,24,379
40,Sección 263,24,27,18,68,13,56,207,2,0,1,1,1,2,1,1,0,28,450
41,Sección 264,24,21,24,196,28,83,298,3,0,0,1,9,1,1,1,0,28,718
42,Sección 265,107,25,110,156,18,81,334,6,7,3,1,0,1,2,0,0,80,931
43,Sección 371,122,106,13,143,56,251,345,22,0,1,0,37,5,4,3,0,42,1150
44,Sección 372,61,25,6,85,25,151,149,5,6,0,1,24,2,5,2,0,61,608
