,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 1109,108,592,15,174,92,319,1159,29,9,0,0,76,20,23,22,0,42,2680
3,Sección 1110,64,280,5,55,28,86,468,19,1,0,1,20,9,8,7,0,28,1079
4,Sección 1111,31,173,2,43,36,82,312,5,5,0,1,33,6,4,1,0,16,750
5,Sección 1112,43,214,4,44,18,67,256,15,4,0,0,22,2,6,5,0,13,713
6,Sección 1113,7,88,4,38,60,16,222,4,5,0,0,34,7,1,2,1,34,523
7,Sección 1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Sección 1115,8,78,4,38,39,8,269,5,0,0,0,14,9,5,3,0,16,496
9,Sección 1116,2,21,0,9,4,5,43,0,0,0,0,0,0,2,0,0,4,90
10,Sección 1117,7,26,1,8,11,6,106,0,0,0,0,2,0,0,0,0,4,171
11,Sección 1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sección 1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Sección 1121,2,12,1,13,11,5,101,2,0,0,0,15,3,3,2,0,8,178
14,Sección 1122,7,83,2,9,13,22,193,1,0,0,0,9,3,1,4,0,9,356
15,Sección 1123,8,26,6,0,10,41,220,0,12,0,0,3,0,2,4,0,12,344
16,Sección 1124,3,32,3,9,20,40,198,5,1,0,0,20,2,6,5,0,13,357
17,Sección 1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Sección 1126,32,1,13,6,9,42,1,0,0,0,1,0,0,0,0,0,0,105
19,Sección 1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Sección 1128,0,27,0,19,8,6,79,0,0,0,0,0,0,0,0,0,2,141
21,Sección 1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Sección 1130,2,61,1,22,12,13,160,3,0,0,0,13,0,0,0,0,7,294
23,Sección 1131,0,74,0,0,0,16,261,0,0,0,0,0,0,0,0,0,17,368
24,Sección 1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Sección 1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Sección 1134,0,74,0,0,0,18,196,16,0,0,0,38,0,0,0,0,10,352
27,Sección 1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Sección 1136,4,32,1,7,26,7,40,2,1,0,0,1,0,1,3,0,3,128
29,Sección 1137,6,62,1,45,21,11,186,5,2,0,0,11,3,4,1,0,13,371
30,Sección 1138,38,147,9,63,79,81,591,8,0,0,0,27,1,7,18,0,13,1082
31,Sección 1139,38,62,1,17,20,31,230,0,0,0,0,0,0,0,0,0,7,406
32,Sección 1140,22,108,8,50,55,56,506,5,0,0,0,27,5,2,7,0,15,866
33,Sección 1141,21,29,3,19,26,36,178,0,4,0,0,0,0,24,0,0,4,344
34,Sección 1142,18,125,2,24,41,58,420,4,2,0,1,16,7,6,6,0,18,748
35,Sección 1143,0,10,5,3,12,0,81,0,0,0,0,11,1,5,0,0,2,130
36,Sección 1144,7,20,0,2,10,8,63,2,0,0,1,1,0,2,1,0,0,117
37,Sección 1145,23,44,6,35,33,54,379,5,0,0,0,17,0,0,0,0,7,603
38,Sección 1146,17,67,3,12,17,49,350,7,0,0,0,4,0,0,0,0,10,536
39,Sección 1147,22,119,3,35,83,88,699,2,1,0,1,30,3,3,12,0,23,1124
40,Sección 1148,5,71,4,9,87,47,508,61,1,0,0,15,1,3,11,0,8,831
41,Sección 1149,29,156,3,15,32,44,324,7,4,0,0,15,2,4,7,0,6,648
42,Sección 1150,19,136,10,35,83,73,512,6,0,0,0,21,4,6,4,0,20,929
43,Sección 1151,8,144,15,33,40,68,261,5,3,0,1,28,8,5,7,2,21,649
44,Sección 1152,9,111,7,29,60,66,443,7,2,2,0,23,5,2,9,1,14,790
