,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Sección 204,160,8,1,31,18,51,344,2,0,0,0,14,0,2,1,0,11,643
1,Sección 205,493,33,10,115,118,135,1245,7,6,1,0,63,8,16,13,0,73,2336
2,Sección 206,720,33,12,174,146,158,1689,6,11,2,0,127,12,29,17,2,124,3262
3,Sección 207,1033,60,10,289,244,373,3379,9,17,5,0,267,24,61,35,6,153,5965
4,Sección 208,399,8,0,57,64,44,640,4,5,2,0,41,5,11,11,0,38,1329
5,Sección 209,274,6,6,26,25,33,316,4,3,0,0,22,0,4,8,0,29,756
6,Sección 210,228,15,5,61,44,60,548,5,6,0,0,42,0,12,12,0,18,1056
7,Sección 211,242,15,5,74,65,112,977,10,5,1,0,74,7,22,18,1,45,1673
8,Sección 212,563,56,6,71,86,179,1008,13,2,0,0,83,1,11,14,3,33,2129
9,Sección 213,524,46,11,156,141,192,1593,12,7,1,0,147,10,29,22,3,109,3003
10,Sección 214,226,10,4,40,45,101,597,6,3,2,0,58,7,13,11,0,21,1144
11,Sección 215,295,34,7,79,53,143,1087,14,5,0,0,109,9,15,19,2,39,1910
12,Sección 216,91,5,2,16,9,37,242,5,2,0,0,20,1,6,0,0,12,448
13,Sección 217,753,54,10,152,157,315,2489,35,11,1,27,284,9,26,21,3,99,4446
14,Sección 218,621,55,14,125,120,268,1958,13,13,1,0,112,11,23,17,2,92,3445
15,Sección 221,88,0,0,18,25,28,232,1,1,0,0,15,5,1,1,1,9,425
16,Sección 222,54,8,0,37,15,32,309,1,0,0,0,16,3,4,0,0,6,485
17,Sección 223,283,21,6,70,69,152,1192,10,3,2,0,134,17,28,23,0,39,2049
18,Sección 278,1604,173,16,115,119,450,1594,56,29,1,4,100,33,14,15,3,64,4390
19,Sección 304,363,53,1,19,6,68,201,12,5,0,1,20,2,2,0,4,9,766
20,Sección 323,192,9,0,11,4,26,118,4,6,0,0,11,0,2,3,1,7,394
21,Sección 324,133,81,11,17,29,49,253,182,5,0,0,13,24,4,3,1,14,819
22,Sección 325,303,44,11,73,46,171,808,21,5,0,0,71,8,16,13,3,46,1639
23,Sección 326,439,46,0,17,13,49,194,32,6,0,0,15,1,1,8,2,16,839
24,Sección 327,409,50,3,32,18,78,366,28,1,1,0,35,0,5,7,5,31,1069
25,Sección 358,224,37,3,25,16,73,365,11,1,0,0,23,0,3,1,0,15,797
26,Sección 359,334,46,2,28,13,83,322,14,8,0,0,30,0,8,3,0,18,909
27,Sección 360,347,35,3,22,9,48,203,12,9,0,0,11,0,0,1,0,9,709
28,Sección 361,153,21,3,31,18,58,385,5,0,0,0,31,0,1,1,0,15,722
29,Sección 362,188,45,4,22,31,72,153,7,7,0,0,30,3,9,3,0,23,597
30,Sección 363,289,68,2,16,16,56,282,8,3,0,0,22,0,1,4,0,28,795
31,Sección 396,106,11,2,8,9,27,109,11,2,0,0,14,1,0,2,0,4,306
32,Sección 397,170,31,2,12,11,36,159,3,7,0,0,17,2,3,3,0,10,466
33,Sección 398,129,20,2,14,10,38,241,1,4,0,1,18,0,1,2,1,9,491
34,Sección 399,132,24,2,20,18,49,274,7,2,0,0,28,4,4,1,0,17,582
35,Sección 400,138,27,2,25,18,64,326,11,1,0,0,24,1,9,2,1,16,665
36,Sección 401,220,29,2,62,21,89,456,8,0,0,0,15,0,3,2,1,17,925
37,Sección 402,168,29,3,37,19,89,515,13,2,0,0,54,7,5,6,1,31,979
38,Sección 403,112,26,3,19,25,80,452,18,0,0,0,74,1,6,4,1,22,843
39,Sección 404,228,22,2,38,44,98,643,7,7,0,0,50,1,5,4,1,22,1172
40,Sección 405,173,28,2,38,27,64,356,12,3,1,0,37,3,6,6,0,14,770
41,Sección 406,522,179,9,141,44,162,656,42,14,5,0,93,2,9,5,2,33,1918
42,Sección 407,144,45,1,22,8,50,254,9,2,0,0,29,3,2,3,1,7,580
43,Sección 408,88,16,1,6,6,63,129,99,3,0,0,178,0,2,2,0,11,604
44,Sección 409,68,8,0,8,10,25,117,5,1,0,0,10,1,3,0,0,4,260
45,Sección 428,117,22,2,14,13,40,168,7,1,1,0,20,0,1,0,0,9,415
46,Sección 429,81,9,0,3,1,18,99,3,1,0,0,16,1,1,1,0,5,239
47,Sección 430,112,18,0,18,13,36,159,2,3,1,0,19,1,6,3,1,5,397
48,Sección 431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Sección 432,200,40,1,19,15,53,234,12,2,2,0,14,9,7,3,0,9,620
50,Sección 433,229,33,1,19,20,61,259,5,4,2,0,28,1,6,3,0,14,685
51,Sección 434,231,46,2,30,19,84,348,3,6,1,0,40,5,4,2,2,15,838
52,Sección 435,122,21,1,20,24,51,295,7,1,0,0,32,4,12,10,0,15,615
53,Sección 436,335,53,1,25,36,120,510,17,10,0,0,40,3,9,8,5,20,1192
54,Sección 437,175,35,4,12,20,41,310,8,2,0,0,29,4,4,8,0,9,661
55,Sección 438,196,31,4,34,31,87,351,10,4,0,0,30,4,6,3,0,16,807
56,Sección 439,167,31,7,40,33,73,543,4,0,0,0,18,2,5,4,0,10,937
57,Sección 440,161,29,5,35,22,80,491,11,2,0,0,74,0,6,5,1,14,936
58,Sección 441,164,31,6,35,28,94,527,11,4,2,0,34,2,6,14,0,24,982
59,Sección 442,107,14,2,36,18,59,331,2,0,0,0,13,17,13,5,1,18,636
60,Sección 443,47,16,0,12,11,31,138,2,1,0,0,12,1,4,3,0,7,285
61,Sección 444,102,17,1,21,14,55,287,6,3,0,0,20,1,1,3,0,12,543
62,Sección 445,55,17,1,6,7,25,197,0,2,0,0,0,3,0,1,0,7,321
63,Sección 446,50,7,1,9,15,25,217,4,3,0,0,14,1,3,3,0,8,360
64,Sección 447,56,10,2,4,2,35,213,4,1,0,0,19,2,2,3,0,5,358
65,Sección 448,97,16,0,21,12,96,230,125,2,0,0,310,0,4,6,0,19,938
66,Sección 449,199,35,2,34,21,82,448,13,9,0,0,43,3,8,5,0,22,924
67,Sección 450,213,36,3,22,15,75,338,4,6,0,0,41,6,4,6,0,16,785
68,Sección 451,329,42,2,29,12,113,425,7,2,0,1,32,3,4,4,0,25,1030
69,Sección 452,211,56,5,27,19,69,301,6,3,0,0,44,1,0,3,0,23,768
70,Sección 453,161,37,2,25,17,63,246,4,4,0,0,28,3,2,2,1,10,605
71,Sección 454,215,24,2,18,18,64,331,9,4,1,0,17,18,5,4,1,10,741
72,Sección 455,282,42,1,22,12,70,360,14,4,0,1,25,1,3,9,2,14,862
73,Sección 456,113,28,2,18,14,35,201,6,2,0,0,34,5,7,0,0,10,475
74,Sección 457,80,11,2,10,14,30,142,0,4,1,3,12,1,0,1,2,6,319
75,Sección 458,120,25,2,9,6,27,158,5,2,0,0,21,0,1,4,0,9,389
76,Sección 481,158,10,0,15,8,39,162,3,2,3,0,16,1,0,2,0,3,422
77,Sección 482,137,17,1,21,14,53,202,8,4,0,0,28,0,8,2,1,10,506
78,Sección 483,93,24,1,9,6,33,126,7,1,0,0,11,0,3,2,0,6,322
79,Sección 484,239,42,1,14,12,42,196,14,4,1,2,21,0,4,3,2,13,610
80,Sección 485,188,34,4,21,14,50,177,8,2,0,0,17,2,1,9,0,10,537
